external_identifier_value,election_administration_id,external_identifier_type,external_identifier_othertype,name,polling_location_ids,state_id,type,other_type,id
ocd-division/country:us/state:mn/county:pope,ea0442,ocd-id,,Pope_Glenwood_444,poll1478 poll1486 poll1485,st27,,,loc0444
ocd-division/country:us/state:mn/county:ramsey,ea0484,ocd-id,,Ramsey_Roseville_473,poll1558 poll1559 poll1496 poll1495 poll1494 poll1550 poll1611 poll1557 poll1594 poll1612 poll1539 poll1576 poll1577 poll1530 poll1531 poll1532 poll1512 poll1514 poll1593 poll1595 poll1513 poll1585 poll1584 poll1586 poll1549 poll1548 poll1487 poll1602 poll1603 poll1541 poll1540 poll1604 poll1567 poll1566 poll1503 poll1505 poll1504 poll1523 poll1522 poll1521 poll1568 poll1575,st27,,,loc0469
ocd-division/country:us/state:mn/county:red_lake,ea0487,ocd-id,,Red,poll1620 poll1613,st27,,,loc0488
ocd-division/country:us/state:mn/county:redwood,ea0491,ocd-id,,Redwood_Redwood,poll1629 poll1622 poll1630,st27,,,loc0489
ocd-division/country:us/state:mn/county:renville,ea0493,ocd-id,,Renville_Olivia_494,poll1639 poll1631 poll1638,st27,,,loc0494
ocd-division/country:us/state:mn/county:rice,ea0497,ocd-id,,Rice_Faribault_496,poll1647 poll1648 poll1640,st27,,,loc0496
ocd-division/country:us/state:mn/county:rock,ea0499,ocd-id,,Rock_Luverne_499,poll1656 poll1649,st27,,,loc0498
ocd-division/country:us/state:mn/county:roseau,ea0501,ocd-id,,Roseau_Roseau_500,poll1658 poll1665 poll1666,st27,,,loc0500
ocd-division/country:us/state:mn/county:scott,ea0556,ocd-id,,Scott_Shakopee_556,poll1835 poll1842 poll1843,st27,,,loc0556
ocd-division/country:us/state:mn/county:sherburne,ea0558,ocd-id,,Sherburne_Elk,poll1852 poll1851 poll1844,st27,,,loc0557
ocd-division/country:us/state:mn/county:sibley,ea0562,ocd-id,,Sibley_Gaylord_561,poll1853 poll1860 poll1861,st27,,,loc0562
ocd-division/country:us/state:mn/county:st_louis,ea0552,ocd-id,,Saint,poll1710 poll1737 poll1712 poll1730 poll1719 poll1738 poll1739 poll1782 poll1791 poll1792 poll1793 poll1676 poll1675 poll1674 poll1765 poll1683 poll1826 poll1729 poll1728 poll1766 poll1800 poll1801 poll1684 poll1685 poll1721 poll1720 poll1784 poll1809 poll1703 poll1702 poll1701 poll1802 poll1773 poll1748 poll1810 poll1775 poll1746 poll1783 poll1764 poll1811 poll1667 poll1834 poll1833 poll1694 poll1812 poll1774 poll1692 poll1755 poll1756 poll1757 poll1818,st27,,,loc0508
ocd-division/country:us/state:mn/county:stearns,ea0563,ocd-id,,Stearns_Melrose_563,poll1871 poll1870 poll1869 poll1879 poll1878 poll1862,st27,,,loc0568
ocd-division/country:us/state:mn/county:steele,ea0569,ocd-id,,Steele_Owatonna_569,poll1887 poll1880,st27,,,loc0570
ocd-division/country:us/state:mn/county:stevens,ea0571,ocd-id,,Stevens_Morris_571,poll1897 poll1896 poll1889,st27,,,loc0571
ocd-division/country:us/state:mn/county:swift,ea0574,ocd-id,,Swift_Benson_574,poll1905 poll1906 poll1898,st27,,,loc0575
ocd-division/country:us/state:mn/county:todd,ea0577,ocd-id,,Todd_Long,poll1907 poll1914 poll1915,st27,,,loc0579
ocd-division/country:us/state:mn/county:traverse,ea0581,ocd-id,,Traverse_Wheaton_581,poll1923 poll1924 poll1916,st27,,,loc0580
ocd-division/country:us/state:mn/county:wabasha,ea0585,ocd-id,,Wabasha_Lake,poll1934 poll1941 poll1942 poll1932,st27,,,loc0583
ocd-division/country:us/state:mn/county:wadena,ea0587,ocd-id,,Wadena_Wadena_588,poll1943 poll1950 poll1951,st27,,,loc0588
ocd-division/country:us/state:mn/county:waseca,ea0592,ocd-id,,Waseca_Waseca_591,poll1960 poll1952 poll1959,st27,,,loc0592
ocd-division/country:us/state:mn/county:washington,ea0598,ocd-id,,Washington_Stillwater_596,poll1986 poll1987 poll1978 poll1979 poll1969 poll1968 poll1996 poll1995 poll1970 poll1961 poll1988 poll1977,st27,,,loc0593
ocd-division/country:us/state:mn/county:watonwan,ea0606,ocd-id,,Watonwan_St,poll2012 poll1998 poll2011 poll1997,st27,,,loc0608
ocd-division/country:us/state:mn/county:wilkin,ea0611,ocd-id,,Wilkin_Breckenridge_609,poll2021 poll2014 poll2022,st27,,,loc0610
ocd-division/country:us/state:mn/county:winona,ea0614,ocd-id,,Winona_Winona_614,poll2027 poll2030 poll2023,st27,,,loc0612
ocd-division/country:us/state:mn/county:wright,ea0623,ocd-id,,Wright_Delano_623,poll2128 poll2125 poll2032 poll2116 poll2089 poll2150 poll2126 poll2127 poll2066 poll2040 poll2149 poll2047 poll2140 poll2062 poll2142 poll2118 poll2038 poll2039 poll2065 poll2064,st27,,,loc0628
ocd-division/country:us/state:mn/county:yellow_medicine,ea0637,ocd-id,,Yellow,poll2151 poll2158 poll2159,st27,,,loc0636
