ocd-division,County,Location Name,Address 1,Address 2,dirs,City,State,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:andover,Anoka,Andover City Hall,1685 Crosstown Blvd NW,,,Andover,MN,55304,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:anoka,Anoka,Anoka City Hall,2015 First Ave North,,,Anoka,MN,55303,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/county:anoka,Anoka,Anoka County Elections Office,325 E Main St,Ste W130,,Anoka,MN,55303,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1425,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1425,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1425,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1425,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1425,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1425,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1425,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:bethel,Anoka,Bethel - Sandhill Center,23820 Dewey St,,,Bethel,MN,55005,725,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:blaine,Anoka,Blaine City Hall,10801 Town Square Dr,,,Blaine,MN,55449,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,730,1600,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,730,1600,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,730,1600,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,730,1600,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,730,1600,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,730,1600,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,730,1600,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:centerville,Anoka,Centerville City Hall,1880 Main St,,,Centerville,MN,55038,700,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1630,10-03-2016,10-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1630,10-10-2016,10-14-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1630,10-17-2016,10-21-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1630,10-24-2016,10-28-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1630,10-31-2016,11-04-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,1000,1500,11-05-2016,11-05-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:circle_pines,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,,Circle Pines,MN,55014,800,1700,11-07-2016,11-07-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:columbia_heights,Anoka,Columbia Heights City Hall,590 40th Ave NE,,,Columbia Heights,MN,55421,800,1630,09-23-2016,09-23-2016,FALSE,FALSE,FALSE
ocd-division/country:us/state:mn/place:columbia_heights,Anoka,Columbia Heights City Hall,590 40th Ave NE,,,Columbia Heights,MN,55421,800,1630,09-26-2016,09-30-2016,FALSE,FALSE,FALSE
