index,address_location_name,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
51,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411 Newark, NJ 07101",09:00 AM-04:00 PM,,,False,True,,,,esse0051
52,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411 Newark, NJ 07101",09:00 AM-04:00 PM,,,False,True,,,,esse0052
53,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411 Newark, NJ 07101",09:00 AM-04:00 PM,,,False,True,,,,esse0053
54,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411 Newark, NJ 07101",09:00 AM-04:00 PM,,,False,True,,,,esse0054
55,"Hall of Records, 465 Dr. Martin Luther King, Jr. Boulevard, Fourth Floor, Room 411 Newark, NJ 07101",09:00 AM-03:00 PM,,,False,True,,,,esse0055
56,"550 Grove Road West Deptford, NJ 08066",08:30 AM-04:30 PM,,,False,True,,,,glou0056
57,"550 Grove Road West Deptford, NJ 08066",08:30 AM-04:30 PM,,,False,True,,,,glou0057
58,"550 Grove Road West Deptford, NJ 08066",08:30 AM-04:30 PM,,,False,True,,,,glou0058
59,"550 Grove Road West Deptford, NJ 08066",08:30 AM-04:30 PM,,,False,True,,,,glou0059
60,"550 Grove Road West Deptford, NJ 08066",08:30 AM-04:30 PM,,,False,True,,,,glou0060
61,"550 Grove Road West Deptford, NJ 08066",08:30 AM-04:30 PM,,,False,True,,,,glou0061
62,"550 Grove Road West Deptford, NJ 08066",09:00 AM-02:00 PM,,,False,True,,,,glou0062
63,"550 Grove Road West Deptford, NJ 08066",08:30 AM-03:00 PM,,,False,True,,,,glou0063
64,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-09:00 PM,,,False,True,,,,glou0064
65,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-05:30 PM,,,False,True,,,,glou0065
66,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-09:00 PM,,,False,True,,,,glou0066
67,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-05:30 PM,,,False,True,,,,glou0067
68,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-09:00 PM,,,False,True,,,,glou0068
69,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-05:30 PM,,,False,True,,,,glou0069
70,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-09:00 PM,,,False,True,,,,glou0070
71,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-05:30 PM,,,False,True,,,,glou0071
72,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-09:00 PM,,,False,True,,,,glou0072
73,"1750 Deptford Center Rd Deptford Township, NJ 08096",10:00 AM-05:30 PM,,,False,True,,,,glou0073
74,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor Jersey City, NJ 07302",08:30 AM-04:30 PM,,,False,True,,,,huds0074
75,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor Jersey City, NJ 07302",08:30 AM-04:30 PM,,,False,True,,,,huds0075
76,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor Jersey City, NJ 07302",08:30 AM-04:30 PM,,,False,True,,,,huds0076
77,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor Jersey City, NJ 07302",08:30 AM-04:30 PM,,,False,True,,,,huds0077
78,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor Jersey City, NJ 07302",08:30 AM-04:30 PM,,,False,True,,,,huds0078
79,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor Jersey City, NJ 07302",08:30 AM-04:30 PM,,,False,True,,,,huds0079
80,"Hudson County Plaza, 257 Cornelison Avenue, 4th Floor Jersey City, NJ 07302",08:30 AM-03:00 PM,,,False,True,,,,huds0080
81,"71 Main Street, Hall of Records Flemington, NJ 08822",09:00 AM-01:00 PM,,,False,True,,,,hunt0081
82,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0082
83,"71 Main Street, Hall of Records Flemington, NJ 08822",09:00 AM-01:00 PM,,,False,True,,,,hunt0083
84,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0084
85,"71 Main Street, Hall of Records Flemington, NJ 08822",09:00 AM-01:00 PM,,,False,True,,,,hunt0085
86,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0086
87,"71 Main Street, Hall of Records Flemington, NJ 08822",09:00 AM-01:00 PM,,,False,True,,,,hunt0087
88,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0088
89,"71 Main Street, Hall of Records Flemington, NJ 08822",09:00 AM-01:00 PM,,,False,True,,,,hunt0089
90,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0090
91,"71 Main Street, Hall of Records Flemington, NJ 08822",09:00 AM-01:00 PM,,,False,True,,,,hunt0091
92,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0092
93,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-07:00 PM,,,False,True,,,,hunt0093
94,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0094
95,"71 Main Street, Hall of Records Flemington, NJ 08822",09:00 AM-03:00 PM,,,False,True,,,,hunt0095
96,"71 Main Street, Hall of Records Flemington, NJ 08822",11:00 AM-03:00 PM,,,False,True,,,,hunt0096
97,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-04:30 PM,,,False,True,,,,hunt0097
98,"71 Main Street, Hall of Records Flemington, NJ 08822",08:30 AM-08:00 PM,,,False,True,,,,hunt0098
99,"640 S. Broad Street Trenton, NJ 08650",08:30 AM-04:30 PM,,,False,True,,,,merc0099
100,"640 S. Broad Street Trenton, NJ 08650",08:30 AM-04:30 PM,,,False,True,,,,merc100
101,"640 S. Broad Street Trenton, NJ 08650",08:30 AM-04:30 PM,,,False,True,,,,merc0101
102,"640 S. Broad Street Trenton, NJ 08650",08:30 AM-04:30 PM,,,False,True,,,,merc0102
103,"640 S. Broad Street Trenton, NJ 08650",08:30 AM-04:30 PM,,,False,True,,,,merc0103
