ocd-division,COUNTY,Location Name,Address 1,Address 2,City,State,Zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,Appointment Phone #,is_subject_to_change,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1425,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Bethel - Sandhill Center,23820 Dewey St,,Bethel,MN,55005,725,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Blaine City Hall,10801 Town Square Dr,,Blaine,MN,55449,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1600,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Centerville City Hall,1880 Main St,,Centerville,MN,55038,700,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Circle Pines City Hall,200 Civic Heights Cir,,Circle Pines,MN,55014,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,9/26/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,10/3/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,10/10/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,10/17/16,10/21/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,10/24/16,10/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,10/31/16,11/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,1000,1500,11/5/16,11/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1700,11/7/16,11/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,9/23/16,9/23/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,9/26/16,9/27/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,9/28/16,9/28/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,9/29/16,9/30/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/3/16,10/4/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,10/5/16,10/5/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/6/16,10/7/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/10/16,10/11/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,10/12/16,10/12/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/13/16,10/14/16,no,no,,no,
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,10/17/16,10/18/16,no,no,,no,
