name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,county,directions,voter_services,start_date,end_date,start_time,end_time,days_times_open,id,COMMENTS
"""Acoma Tribal Auditorium""",Acoma Tribal Auditorium,33A Pinsbaari Drive,,,Acoma,NM,87034,Cibola,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
"""Acoma Tribal Auditorium""",Acoma Tribal Auditorium,33A Pinsbaari Drive,,,Acoma,NM,87034,Cibola,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,16:00:00-7:00,October 22 - November 5 Tue - Sat 8 AM - 4 PM,,
"""Jemez Pueblo Civic Center""",Moriarty Civic Center,202 Broadway Ave.,,,Moriarty,NM,87035,Torrance,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Jemez Pueblo Civic Center""",Moriarty Civic Center,203 Broadway Ave.,,,Moriarty,NM,87035,Torrance,,Early Voting,10/25/16,10/29/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Jemez Pueblo Civic Center""",Moriarty Civic Center,204 Broadway Ave.,,,Moriarty,NM,87035,Torrance,,Early Voting,11/1/16,11/5/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Otero County Administration Bldg. - Clerk's Office""",Cochiti Pueblo Community Center,255 Cochiti St,,,Cochiti,NM,87041,Sandoval,,Early Voting,11/3/16,11/4/16,10:00:00-07:00,19:00:00-7:00,November 3 - November 4 Thu - Fri 10 AM - 7 PM,,
"""Eddy County Clerk's Office""",Las Placitas Presbyterian Church,7 Paseo De San Antonio,,,Placitas,NM,87043,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Eddy County Clerk's Office""",Las Placitas Presbyterian Church,8 Paseo De San Antonio,,,Placitas,NM,87043,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Eddy County Clerk's Office""",Las Placitas Presbyterian Church,9 Paseo De San Antonio,,,Placitas,NM,87043,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Sonoma Elementary School""",Sandoval County Voting Machine Warehouse,800 South Hill Rd.,,,Bernalillo,NM,87044,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Sonoma Elementary School""",Sandoval County Voting Machine Warehouse,801 South Hill Rd.,,,Bernalillo,NM,87044,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Sonoma Elementary School""",Sandoval County Voting Machine Warehouse,802 South Hill Rd.,,,Bernalillo,NM,87044,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Dona Ana Community College Sunland Park Learning Center""",Corrales Community Center,4326 Corrales Rd.,,,Corrales,NM,87048,Sandoval,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Dona Ana Community College Sunland Park Learning Center""",Corrales Community Center,4327 Corrales Rd.,,,Corrales,NM,87048,Sandoval,,Early Voting,10/24/16,10/29/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Dona Ana Community College Sunland Park Learning Center""",Corrales Community Center,4328 Corrales Rd.,,,Corrales,NM,87048,Sandoval,,Early Voting,10/31/16,11/5/16,10:00:00-07:00,19:00:00-7:00,October 22 - November 5 Mon - Sat 10 AM - 7 PM,,
"""Christian Life Church""",San Felipe Pueblo Senior Center,5 Cedar Rd.,,,San Felipe Pueblo,NM,87049,Sandoval,,Early Voting,10/24/16,10/25/16,10:00:00-07:00,19:00:00-7:00,October 24 - October 25 Mon - Tue 10 AM - 7 PM,,
"""Moriarty Civic Center""",Santo Domingo Pueblo Community Center,Tesuque St.,,,Santo Domingo Pueblo,NM,87052,Sandoval,,Early Voting,10/31/16,10/31/16,10:00:00-07:00,19:00:00-7:00,October 31 Mon 10 AM - 7 PM,,
"""Questa Municipal Hall""",Zia Pueblo Community Center,135 Capitol Square Dr,,,Zia Pueblo,NM,87053,Sandoval,,Early Voting,10/27/16,10/28/16,10:00:00-07:00,19:00:00-7:00,October 27 - October 28 Thu - Fri 10 AM - 7 PM,,
"""Crownpoint""",Tijeras City Hall,12 Camino Municipal,,,Tijeras,NM,87059,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Crownpoint""",Tijeras City Hall,13 Camino Municipal,,,Tijeras,NM,87059,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Crownpoint""",Tijeras City Hall,14 Camino Municipal,,,Tijeras,NM,87059,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Eichwald Center""",Bosque Farms Public Library,1455 W. Bosque Loop,,,Bosque Farms,NM,87068,Valencia,,Early Voting,10/22/16,10/22/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Eichwald Center""",Bosque Farms Public Library,1456 W. Bosque Loop,,,Bosque Farms,NM,87068,Valencia,,Early Voting,10/25/16,10/29/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Eichwald Center""",Bosque Farms Public Library,1457 W. Bosque Loop,,,Bosque Farms,NM,87068,Valencia,,Early Voting,11/1/16,11/5/16,10:00:00-07:00,18:00:00-7:00,October 22 - November 5 Tue - Sat 10 AM - 6 PM,,
"""Roswell Mall - Main Entrance""",Clerk's Annex,"1500 Lomas Blvd NW,Suite A",,,Albuquerque,NM,87104,Bernalillo,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 22,10/11/16,10/15/16,08:00:00-07:00,20:00:00-7:00,October 11 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Roswell Mall - Main Entrance""",Clerk's Annex,"1501 Lomas Blvd NW,Suite A",,,Albuquerque,NM,87104,Bernalillo,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 23,10/17/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 11 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Roswell Mall - Main Entrance""",Clerk's Annex,"1502 Lomas Blvd NW,Suite A",,,Albuquerque,NM,87104,Bernalillo,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 24,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 11 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Roswell Mall - Main Entrance""",Clerk's Annex,"1503 Lomas Blvd NW,Suite A",,,Albuquerque,NM,87104,Bernalillo,,Open for in-person absentee voting beginning October 11 and general early voting beginning Oct 25,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 11 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Clerk's Office""",South Valley Multi Gen Center,2008 Larrazolo Rd. SW,,,Albuquerque,NM,87105,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Clerk's Office""",South Valley Multi Gen Center,2009 Larrazolo Rd. SW,,,Albuquerque,NM,87105,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Clerk's Office""",South Valley Multi Gen Center,2010 Larrazolo Rd. SW,,,Albuquerque,NM,87105,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Zuni Tribal Building""",Bernalillo County Visitor and Cultural Center,6080 Isleta Blvd. SW,,,Albuquerque,NM,87105,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Zuni Tribal Building""",Bernalillo County Visitor and Cultural Center,6081 Isleta Blvd. SW,,,Albuquerque,NM,87105,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Zuni Tribal Building""",Bernalillo County Visitor and Cultural Center,6082 Isleta Blvd. SW,,,Albuquerque,NM,87105,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Los Alamos County Clerk's Office""",University of New Mexico Student Union Building,1 University of New Mexico,,,Albuquerque,NM,87106,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Los Alamos County Clerk's Office""",University of New Mexico Student Union Building,2 University of New Mexico,,,Albuquerque,NM,87106,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Los Alamos County Clerk's Office""",University of New Mexico Student Union Building,3 University of New Mexico,,,Albuquerque,NM,87106,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Twin Lakes Chapter House""",Los Ranchos Villa,"6601 4th St NW, Suite K, L",,,Albuquerque,NM,87107,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Twin Lakes Chapter House""",Los Ranchos Villa,"6602 4th St NW, Suite K, L",,,Albuquerque,NM,87107,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Twin Lakes Chapter House""",Los Ranchos Villa,"6603 4th St NW, Suite K, L",,,Albuquerque,NM,87107,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Luna County Clerk's Office""",Central Mercado,"301 San Pedro Dr SE Suite B, C, D, E",,,Albuquerque,NM,87108,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Luna County Clerk's Office""",Central Mercado,"302 San Pedro Dr SE Suite B, C, D, E",,,Albuquerque,NM,87108,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Luna County Clerk's Office""",Central Mercado,"303 San Pedro Dr SE Suite B, C, D, E",,,Albuquerque,NM,87108,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Horton Complex""",Fiesta del Norte Shopping Center,6001 San Mateo Blvd. Sute B-3,,,Albuquerque,NM,87109,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Horton Complex""",Fiesta del Norte Shopping Center,6002 San Mateo Blvd. Sute B-3,,,Albuquerque,NM,87109,Bernalillo,,Early Voting,10/24/16,10/29/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Horton Complex""",Fiesta del Norte Shopping Center,6003 San Mateo Blvd. Sute B-3,,,Albuquerque,NM,87109,Bernalillo,,Early Voting,10/31/16,11/5/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
"""Lea County Event Center""",Daskalos Center,5339 Menaul Blvd. NE,,,Albuquerque,NM,87110,Bernalillo,,Early Voting,10/22/16,10/22/16,08:00:00-07:00,20:00:00-7:00,October 22 - November 5 Mon - Sat 8 AM - 8 PM,,
