name,county,location,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,state_id,start_time,end_time,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
EV01 Allegany County Office Complex,Allegany,Allegany County Office Complex,701 Kelly Road,,,Cumberland,md,21502,Room 100,,10/27/16,11/3/16,2500069,08:00:00-4:00,20:00:00-4:00,1,"701 Kelly Road, Cumberland, MD 21502",Room 100,08:00 AM - 08:00 PM,,ho63583635,FALSE,TRUE,,,,poll86660020
EV01 Mid-County Community Recreation Center,Montgomery,Mid-County Community Recreation Center,2004 Queensguard Road,,,Silver Spring,md,20906,,,10/27/16,11/3/16,2500027,08:00:00-4:00,20:00:00-4:00,2,"2004 Queensguard Road, Silver Spring, MD 20906",,08:00 AM - 08:00 PM,,ho33110235,FALSE,TRUE,,,,poll42035325
EV02 Executive Office Building,Montgomery,Executive Office Building,101 Monroe Street,,,Rockville,md,20850,,,10/27/16,11/3/16,2500026,08:00:00-4:00,20:00:00-4:00,3,"101 Monroe Street, Rockville, MD 20850",,08:00 AM - 08:00 PM,,ho66800780,FALSE,TRUE,,,,poll91326451
EV03 Germantown Community Rec0reation Center,Montgomery,Germantown Community Rec0reation Center,18905 Kingsview Road,,,Germantown,md,20874,,,10/27/16,11/3/16,2500025,08:00:00-4:00,20:00:00-4:00,4,"18905 Kingsview Road, Germantown, MD 20874",,08:00 AM - 08:00 PM,,ho33572631,FALSE,TRUE,,,,poll86577910
EV04 Marilyn J. Praisner Community Recreation Center,Montgomery,Marilyn J. Praisner Community Recreation Center,14906 Old Columbia Pike,,,Burtonsville,md,20866,,,10/27/16,11/3/16,2500024,08:00:00-4:00,20:00:00-4:00,5,"14906 Old Columbia Pike, Burtonsville, MD 20866",,08:00 AM - 08:00 PM,,ho64507047,FALSE,TRUE,,,,poll55219077
EV05 Silver Spring Civic Building,Montgomery,Silver Spring Civic Building,One Veterans Place,,,Silver Spring,md,20910,,,10/27/16,11/3/16,2500023,08:00:00-4:00,20:00:00-4:00,6,"One Veterans Place, Silver Spring, MD 20910",,08:00 AM - 08:00 PM,,ho76717129,FALSE,TRUE,,,,poll39576140
EV01 Westside Skill Center,Baltimore City,Westside Skill Center,4501 Edmondson Avenue,,,Baltimore,md,21229,Rear of Bldg. Enter on Athol Avenue,,10/27/16,11/3/16,2500063,08:00:00-4:00,20:00:00-4:00,7,"4501 Edmondson Avenue, Baltimore, MD 21229",Rear of Bldg. Enter on Athol Avenue,08:00 AM - 08:00 PM,,ho67625837,FALSE,TRUE,,,,poll11978258
EV05 Southeast Anchor Library,Baltimore City,Southeast Anchor Library,3601 Eastern Avenue,,,Baltimore,md,21224,,,10/27/16,11/3/16,2500062,08:00:00-4:00,20:00:00-4:00,8,"3601 Eastern Avenue, Baltimore, MD 21224",,08:00 AM - 08:00 PM,,ho67108611,FALSE,TRUE,,,,poll74333711
EV02 The League For People With Disabilities,Baltimore City,The League For People With Disabilities,1111 E. Coldspring Lane,,,Baltimore,md,21239,,,10/27/16,11/3/16,2500061,08:00:00-4:00,20:00:00-4:00,9,"1111 E. Coldspring Lane, Baltimore, MD 21239",,08:00 AM - 08:00 PM,,ho78851197,FALSE,TRUE,,,,poll1637288
EV03 Maritime Industries Acad Sch #431,Baltimore City,Maritime Industries Acad Sch #431,5001 Sinclair Lane,,,Baltimore,md,21206,,,10/27/16,11/3/16,2500060,08:00:00-4:00,20:00:00-4:00,10,"5001 Sinclair Lane, Baltimore, MD 21206",,08:00 AM - 08:00 PM,,ho241011,FALSE,TRUE,,,,poll89226680
EV04 Public Safety Training Center,Baltimore City,Public Safety Training Center,3500 W. Northern Pkwy,,,Baltimore,md,21215,,,10/27/16,11/3/16,2500059,08:00:00-4:00,20:00:00-4:00,11,"3500 W. Northern Pkwy, Baltimore, MD 21215",,08:00 AM - 08:00 PM,,ho73375195,FALSE,TRUE,,,,poll92939217
EV06 University of Maryland Community Engagement Center,Baltimore City,University of Maryland Community Engagement Center,1 N. Poppleton St,,,Baltimore,md,21201,Enter on W. Baltimore Street,,10/27/16,11/3/16,2500058,08:00:00-4:00,20:00:00-4:00,12,"1 N. Poppleton St, Baltimore, MD 21201",Enter on W. Baltimore Street,08:00 AM - 08:00 PM,,ho17166828,FALSE,TRUE,,,,poll95896896
EV02 College Park Community Center,Prince George's,College Park Community Center,5051 Pierce Ave,,,College Park,md,20740,,,10/27/16,11/3/16,2500017,08:00:00-4:00,20:00:00-4:00,13,"5051 Pierce Ave, College Park, MD 20740",,08:00 AM - 08:00 PM,,ho85706307,FALSE,TRUE,,,,poll81514844
EV05 Southern Regional Technology and Recreation Complex,Prince George's,Southern Regional Technology and Recreation Complex,7007 Bock Rd,,,Fort Washington,md,20744,,,10/27/16,11/3/16,2500016,08:00:00-4:00,20:00:00-4:00,14,"7007 Bock Rd, Fort Washington, MD 20744",,08:00 AM - 08:00 PM,,ho71030954,FALSE,TRUE,,,,poll12537346
EV08 Suitland Community Park School Center,Prince George's,Suitland Community Park School Center,5600 Regency Lane,,,Forestville,md,20747,,,10/27/16,11/3/16,2500015,08:00:00-4:00,20:00:00-4:00,15,"5600 Regency Lane, Forestville, MD 20747",,08:00 AM - 08:00 PM,,ho73508268,FALSE,TRUE,,,,poll66366293
EV06 Laurel - Beltsville Senior Activity Center,Prince George's,Laurel - Beltsville Senior Activity Center,7120 Contee Rd,,,Laurel,md,20707,,,10/27/16,11/3/16,2500014,08:00:00-4:00,20:00:00-4:00,16,"7120 Contee Rd, Laurel, MD 20707",,08:00 AM - 08:00 PM,,ho6634395,FALSE,TRUE,,,,poll54444898
EV01 Upper Marlboro Community Center,Prince George's,Upper Marlboro Community Center,5400 Marlboro Race Track Rd,,,Upper Marlboro,md,20772,,,10/27/16,11/3/16,2500013,08:00:00-4:00,20:00:00-4:00,17,"5400 Marlboro Race Track Rd, Upper Marlboro, MD 20772",,08:00 AM - 08:00 PM,,ho53467696,FALSE,TRUE,,,,poll66187658
EV04 Wayne K. Curry Sports and Learning Center,Prince George's,Wayne K. Curry Sports and Learning Center,8001 Sheriff Rd,,,Landover,md,20785,,,10/27/16,11/3/16,2500012,08:00:00-4:00,20:00:00-4:00,18,"8001 Sheriff Rd, Landover, MD 20785",,08:00 AM - 08:00 PM,,ho70597999,FALSE,TRUE,,,,poll20986749
EV07 Baden Community Center,Prince George's,Baden Community Center,13601 Baden-Westwood Rd,,,Brandywine,md,20613,,,10/27/16,11/3/16,2500011,08:00:00-4:00,20:00:00-4:00,19,"13601 Baden-Westwood Rd, Brandywine, MD 20613",,08:00 AM - 08:00 PM,,ho53626229,FALSE,TRUE,,,,poll4692040
EV03 Bowie Gymnasium,Prince George's,Bowie Gymnasium,4100 Northview Drive,,,Bowie,md,20716,,,10/27/16,11/3/16,2500010,08:00:00-4:00,20:00:00-4:00,20,"4100 Northview Drive, Bowie, MD 20716",,08:00 AM - 08:00 PM,,ho31924022,FALSE,TRUE,,,,poll40562197
EV02 Northern Outreach Center,Garrett,Northern Outreach Center,12601 National Pike,,,Grantsville,md,21536,,,10/27/16,11/3/16,2500037,08:00:00-4:00,20:00:00-4:00,21,"12601 National Pike, Grantsville, MD 21536",,08:00 AM - 08:00 PM,,ho10141996,FALSE,TRUE,,,,poll99105063
EV01 Oakland Community Center,Garrett,Oakland Community Center,14 N. Eighth St,,,Oakland,md,21550,,,10/27/16,11/3/16,2500036,08:00:00-4:00,20:00:00-4:00,22,"14 N. Eighth St, Oakland, MD 21550",,08:00 AM - 08:00 PM,,ho5899147,FALSE,TRUE,,,,poll61562128
