name,county,location,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,state_id,start_time,end_time,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
EV06 Activity Center At Bohrer Park,Montgomery,Activity Center At Bohrer Park,506 S. Frederick Avenue,,,Gaithersburg,md,20877,,,10/27/16,11/3/16,2500022,08:00:00-4:00,20:00:00-4:00,23,"506 S. Frederick Avenue, Gaithersburg, MD 20877",,08:00 AM - 08:00 PM,,ho40221686,FALSE,TRUE,,,,poll66055270
EV07 Damascus Community Recreation Center,Montgomery,Damascus Community Recreation Center,25520 Oak Drive,,,Damascus,md,20872,,,10/27/16,11/3/16,2500021,08:00:00-4:00,20:00:00-4:00,24,"25520 Oak Drive, Damascus, MD 20872",,08:00 AM - 08:00 PM,,ho95759828,FALSE,TRUE,,,,poll82687583
EV08 Jane E. Lawton Community Recreation Center,Montgomery,Jane E. Lawton Community Recreation Center,4301 Willow Lane,,,Chevy Chase,md,20815,,,10/27/16,11/3/16,2500020,08:00:00-4:00,20:00:00-4:00,25,"4301 Willow Lane, Chevy Chase, MD 20815",,08:00 AM - 08:00 PM,,ho8692291,FALSE,TRUE,,,,poll92262372
EV10 Potomac Community Recreation Center,Montgomery,Potomac Community Recreation Center,11315 Falls Road,,,Potomaac,md,20854,,,10/27/16,11/3/16,2500019,08:00:00-4:00,20:00:00-4:00,26,"11315 Falls Road, Potomaac, MD 20854",,08:00 AM - 08:00 PM,,ho73457535,FALSE,TRUE,,,,poll5222827
EV09 Wheaton Volunteer Rescue Squad,Montgomery,Wheaton Volunteer Rescue Squad,2400 Arcola Avenue,,,Wheaton,md,20902,,,10/27/16,11/3/16,2500018,08:00:00-4:00,20:00:00-4:00,27,"2400 Arcola Avenue, Wheaton, MD 20902",,08:00 AM - 08:00 PM,,ho25606140,FALSE,TRUE,,,,poll96928085
EV02 Randallstown Community Center,Baltimore,Randallstown Community Center,3505 Resource Drive,,,Randallstown,md,21133,,,10/27/16,11/3/16,2500057,08:00:00-4:00,20:00:00-4:00,28,"3505 Resource Drive, Randallstown, MD 21133",,08:00 AM - 08:00 PM,,ho84798318,FALSE,TRUE,,,,poll39432548
EV03 Towson University Administration Building,Baltimore,Towson University Administration Building,7720 York Road,,,Towson,md,21252,,,10/27/16,11/3/16,2500056,08:00:00-4:00,20:00:00-4:00,29,"7720 York Road, Towson, MD 21252",,08:00 AM - 08:00 PM,,ho51789933,FALSE,TRUE,,,,poll83446221
EV04 Honeygo Run Community Center,Baltimore,Honeygo Run Community Center,9033 Honeygo Blvd,,,Perry Hall,md,21128,,,10/27/16,11/3/16,2500055,08:00:00-4:00,20:00:00-4:00,30,"9033 Honeygo Blvd, Perry Hall, MD 21128",,08:00 AM - 08:00 PM,,ho63619502,FALSE,TRUE,,,,poll68270044
EV07 Center For MD Agriculture,Baltimore,Center For MD Agriculture,1114 Shawan Road,,,Cockeysville,md,21030,,,10/27/16,11/3/16,2500054,08:00:00-4:00,20:00:00-4:00,31,"1114 Shawan Road, Cockeysville, MD 21030",,08:00 AM - 08:00 PM,,ho96470114,FALSE,TRUE,,,,poll31487784
EV08 Reisterstown Senior Center Hannah More Campus,Baltimore,Reisterstown Senior Center Hannah More Campus,12035 Reisterstown Road,,,Reisterstown,md,21136,,,10/27/16,11/3/16,2500053,08:00:00-4:00,20:00:00-4:00,32,"12035 Reisterstown Road, Reisterstown, MD 21136",,08:00 AM - 08:00 PM,,ho93726809,FALSE,TRUE,,,,poll61581120
EV01 Arbutus Recreation Center,Baltimore,Arbutus Recreation Center,865 Sulphur Spring Road,,,Halethorpe,md,21227,,,10/27/16,11/3/16,2500052,08:00:00-4:00,20:00:00-4:00,33,"865 Sulphur Spring Road, Halethorpe, MD 21227",,08:00 AM - 08:00 PM,,ho85136978,FALSE,TRUE,,,,poll5809508
EV05 Sollers Point Multi-Purpose Center,Baltimore,Sollers Point Multi-Purpose Center,323 Sollers Point Road,,,Dundalk,md,21222,,,10/27/16,11/3/16,2500051,08:00:00-4:00,20:00:00-4:00,34,"323 Sollers Point Road, Dundalk, MD 21222",,08:00 AM - 08:00 PM,,ho18751703,FALSE,TRUE,,,,poll4270674
EV06 Victory Villa Community Center,Baltimore,Victory Villa Community Center,404 Compass Road E.,,,Middle River,md,21220,,,10/27/16,11/3/16,2500050,08:00:00-4:00,20:00:00-4:00,35,"404 Compass Road E., Middle River, MD 21220",,08:00 AM - 08:00 PM,,ho55052665,FALSE,TRUE,,,,poll14630388
EV09 Woodlawn Community Center,Baltimore,Woodlawn Community Center,2120 Gwynn Oak Avenue,,,Gwynn Oak,md,21207,,,10/27/16,11/3/16,2500049,08:00:00-4:00,20:00:00-4:00,36,"2120 Gwynn Oak Avenue, Gwynn Oak, MD 21207",,08:00 AM - 08:00 PM,,ho78302468,FALSE,TRUE,,,,poll25010271
EV02 Kent Island Fire Dept,Queen Anne's,Kent Island Fire Dept,1610 Main St,,,Chester,md,21619,,,10/27/16,11/3/16,2500008,08:00:00-4:00,20:00:00-4:00,37,"1610 Main St, Chester, MD 21619",,08:00 AM - 08:00 PM,,ho75523224,FALSE,TRUE,,,,poll8225393
EV01 Vincit Street Conference Room,Queen Anne's,Vincit Street Conference Room,110 Vincit St,,,Centreville,md,21617,,,10/27/16,11/3/16,2500007,08:00:00-4:00,20:00:00-4:00,38,"110 Vincit St, Centreville, MD 21617",,08:00 AM - 08:00 PM,,ho99202072,FALSE,TRUE,,,,poll29088029
EV01 Hollywood Firehouse Carnivel/Bingo Building,Saint Mary's,Hollywood Firehouse Carnivel/Bingo Building,24801 Three Notch Road,,,Hollywood,md,20636,,,10/27/16,11/3/16,2500006,08:00:00-4:00,20:00:00-4:00,39,"24801 Three Notch Road, Hollywood, MD 20636",,08:00 AM - 08:00 PM,,ho32886871,FALSE,TRUE,,,,poll43722945
EV01 Somerset County Office Complex,Somerset,Somerset County Office Complex,11916 Somerset Avenue,,,Princess Anne,md,21853,,,10/27/16,11/3/16,2500005,08:00:00-4:00,20:00:00-4:00,40,"11916 Somerset Avenue, Princess Anne, MD 21853",,08:00 AM - 08:00 PM,,ho96658295,FALSE,TRUE,,,,poll19049976
EV01 Easton Fire House,Talbot,Easton Fire House,315 Aurora Park Drive,,,Easton,md,21601,,,10/27/16,11/3/16,2500004,08:00:00-4:00,20:00:00-4:00,41,"315 Aurora Park Drive, Easton, MD 21601",,08:00 AM - 08:00 PM,,ho20771995,FALSE,TRUE,,,,poll36468561
EV01 Washington County Early Voting Center,Washington,Washington County Early Voting Center,101 Tandy Drive,,,Hagerstown,md,21740,,,10/27/16,11/3/16,2500003,08:00:00-4:00,20:00:00-4:00,42,"101 Tandy Drive, Hagerstown, MD 21740",,08:00 AM - 08:00 PM,,ho79049518,FALSE,TRUE,,,,poll83325743
EV01 Civic Center Midway Room,Wicomico,Civic Center Midway Room,500 Glen Avenue,,,Salisbury,md,21801,,,10/27/16,11/3/16,2500002,08:00:00-4:00,20:00:00-4:00,43,"500 Glen Avenue, Salisbury, MD 21801",,08:00 AM - 08:00 PM,,ho72008701,FALSE,TRUE,,,,poll90700657
EV01 Gull Creek Senior Living Community,Worcester,Gull Creek Senior Living Community,1 Meadow Street,,,Berlin,md,21811,,,10/27/16,11/3/16,2500001,08:00:00-4:00,20:00:00-4:00,44,"1 Meadow Street, Berlin, MD 21811",,08:00 AM - 08:00 PM,,ho31553220,FALSE,TRUE,,,,poll52713713
EV04 Annapolis Senior Activity Center,Anne Arundel,Annapolis Senior Activity Center,119 S. Villa Ave,,,Annapolis,md,21401,,,10/27/16,11/3/16,2500068,08:00:00-4:00,20:00:00-4:00,45,"119 S. Villa Ave, Annapolis, MD 21401",,08:00 AM - 08:00 PM,,ho47201049,FALSE,TRUE,,,,poll8544209
EV01 Odenton Regional Library,Anne Arundel,Odenton Regional Library,1325 Annapolis Road,,,Odenton,md,21113,,,10/27/16,11/3/16,2500067,08:00:00-4:00,20:00:00-4:00,46,"1325 Annapolis Road, Odenton, MD 21113",,08:00 AM - 08:00 PM,,ho70283210,FALSE,TRUE,,,,poll27501571
EV02 Glen Burnie Regional Library,Anne Arundel,Glen Burnie Regional Library,1010 Eastway,,,Glen Burnie,md,21060,,,10/27/16,11/3/16,2500066,08:00:00-4:00,20:00:00-4:00,47,"1010 Eastway, Glen Burnie, MD 21060",,08:00 AM - 08:00 PM,,ho23344485,FALSE,TRUE,,,,poll38727764
EV03 Severna Park Community Library,Anne Arundel,Severna Park Community Library,45 W. Mckinsey Road,,,Severna Park,md,21146,,,10/27/16,11/3/16,2500065,08:00:00-4:00,20:00:00-4:00,48,"45 W. Mckinsey Road, Severna Park, MD 21146",,08:00 AM - 08:00 PM,,ho17530687,FALSE,TRUE,,,,poll29196053
EV05 Edgewater Community Library,Anne Arundel,Edgewater Community Library,25 Stepneys Lane,,,Edgewater,md,21037,,,10/27/16,11/3/16,2500064,08:00:00-4:00,20:00:00-4:00,49,"25 Stepneys Lane, Edgewater, MD 21037",,08:00 AM - 08:00 PM,,ho9036660,FALSE,TRUE,,,,poll8240125
EV01 Community Resources Building,Calvert,Community Resources Building,30 Duke Stl,,,Prince Frederick,md,20678,Lower Level,,10/27/16,11/3/16,2500048,08:00:00-4:00,20:00:00-4:00,50,"30 Duke Stl, Prince Frederick, MD 20678",Lower Level,08:00 AM - 08:00 PM,,ho71563559,FALSE,TRUE,,,,poll67955036
EV01 Health and Public Services Building,Caroline,Health and Public Services Building,403 South 7th Street,,,Denton,md,21629,,,10/27/16,11/3/16,2500047,08:00:00-4:00,20:00:00-4:00,51,"403 South 7th Street, Denton, MD 21629",,08:00 AM - 08:00 PM,,ho51672322,FALSE,TRUE,,,,poll78785006
EV01 Westminster Senior Activities Center,Carroll,Westminster Senior Activities Center,125 Stoner Avenue,,,Westminster,md,21157,,,10/27/16,11/3/16,2500046,08:00:00-4:00,20:00:00-4:00,52,"125 Stoner Avenue, Westminster, MD 21157",,08:00 AM - 08:00 PM,,ho73828822,FALSE,TRUE,,,,poll81681413
EV01 Cecil County Administration Building,Cecil,Cecil County Administration Building,200 Chesapeake Blvd,,,Elkton,md,21921,Elk Room,,10/27/16,11/3/16,2500045,08:00:00-4:00,20:00:00-4:00,53,"200 Chesapeake Blvd, Elkton, MD 21921",Elk Room,08:00 AM - 08:00 PM,,ho4746170,FALSE,TRUE,,,,poll57182019
EV02 St Charles Gleneagles Neighborhood Center,Charles,St Charles Gleneagles Neighborhood Center,4900 Kirkcaldy Court,,,Waldorf,md,20602,,,10/27/16,11/3/16,2500044,08:00:00-4:00,20:00:00-4:00,54,"4900 Kirkcaldy Court, Waldorf, MD 20602",,08:00 AM - 08:00 PM,,ho72827980,FALSE,TRUE,,,,poll83955205
EV01 La Plata Firehouse,Charles,La Plata Firehouse,911 Washington Avenue,,,La Plata,md,20646,,,10/27/16,11/3/16,2500043,08:00:00-4:00,20:00:00-4:00,55,"911 Washington Avenue, La Plata, MD 20646",,08:00 AM - 08:00 PM,,ho34696711,FALSE,TRUE,,,,poll16168163
EV01 Dorchester Co Office Building Lobby,Dorchester,Dorchester Co Office Building Lobby,501 Court Ln,,,Cambridge,md,21613,,,10/27/16,11/3/16,2500042,08:00:00-4:00,20:00:00-4:00,56,"501 Court Ln, Cambridge, MD 21613",,08:00 AM - 08:00 PM,,ho33421734,FALSE,TRUE,,,,poll79474221
EV01 Frederick Senior Center,Frederick,Frederick Senior Center,1440 Taney Avenue,,,Frederick,md,21702,,,10/27/16,11/3/16,2500041,08:00:00-4:00,20:00:00-4:00,57,"1440 Taney Avenue, Frederick, MD 21702",,08:00 AM - 08:00 PM,,ho58966226,FALSE,TRUE,,,,poll64927981
EV02 Thurmont Regional Library,Frederick,Thurmont Regional Library,76 E. Moser Road,,,Thurmont,md,21788,,,10/27/16,11/3/16,2500040,08:00:00-4:00,20:00:00-4:00,58,"76 E. Moser Road, Thurmont, MD 21788",,08:00 AM - 08:00 PM,,ho78552222,FALSE,TRUE,,,,poll85722232
EV03 Urbana Regional Library,Frederick,Urbana Regional Library,9020 Amelung Street,,,Frederick,md,21704,,,10/27/16,11/3/16,2500039,08:00:00-4:00,20:00:00-4:00,59,"9020 Amelung Street, Frederick, MD 21704",,08:00 AM - 08:00 PM,,ho78460835,FALSE,TRUE,,,,poll61783529
EV04 Middletown Vfd Activities Bldg,Frederick,Middletown Vfd Activities Bldg,1 Fireman's Lane,,,Middletown,md,21769,,,10/27/16,11/3/16,2500038,08:00:00-4:00,20:00:00-4:00,60,"1 Fireman's Lane, Middletown, MD 21769",,08:00 AM - 08:00 PM,,ho57779665,FALSE,TRUE,,,,poll93972924
EV01 Mcfaul Activities Center,Harford,Mcfaul Activities Center,525 W. Mcphail Road,,,Bel Air,md,21014,,,10/27/16,11/3/16,2500035,08:00:00-4:00,20:00:00-4:00,61,"525 W. Mcphail Road, Bel Air, MD 21014",,08:00 AM - 08:00 PM,,ho66077949,FALSE,TRUE,,,,poll28203346
EV02 Edgewood Library,Harford,Edgewood Library,629 Edgewood Road,,,Edgewood,md,21040,,,10/27/16,11/3/16,2500034,08:00:00-4:00,20:00:00-4:00,62,"629 Edgewood Road, Edgewood, MD 21040",,08:00 AM - 08:00 PM,,ho28561310,FALSE,TRUE,,,,poll26183563
EV03 University Center,Harford,University Center,1201 Technology Drive,,,Aberdeen,md,21001,,,10/27/16,11/3/16,2500033,08:00:00-4:00,20:00:00-4:00,63,"1201 Technology Drive, Aberdeen, MD 21001",,08:00 AM - 08:00 PM,,ho36125333,FALSE,TRUE,,,,poll90011133
EV04 Jarrettsville Library,Harford,Jarrettsville Library,3722 Norrisville Road,,,Jarrettsville,md,21084,,,10/27/16,11/3/16,2500032,08:00:00-4:00,20:00:00-4:00,64,"3722 Norrisville Road, Jarrettsville, MD 21084",,08:00 AM - 08:00 PM,,ho45714153,FALSE,TRUE,,,,poll46296331
EV01 Ridgely's Run Comm Ctr - All Purpose Rm,Howard,Ridgely's Run Comm Ctr - All Purpose Rm,8400 Mission Rd,,,Jessup,md,20794,,,10/27/16,11/3/16,2500031,08:00:00-4:00,20:00:00-4:00,65,"8400 Mission Rd, Jessup, MD 20794",,08:00 AM - 08:00 PM,,ho13187334,FALSE,TRUE,,,,poll43215415
EV02 The Bain Center - Great Rm 1&2,Howard,The Bain Center - Great Rm 1&2,5470 Ruth Keeton Way,,,Columbia,md,21044,,,10/27/16,11/3/16,2500030,08:00:00-4:00,20:00:00-4:00,66,"5470 Ruth Keeton Way, Columbia, MD 21044",,08:00 AM - 08:00 PM,,ho7816976,FALSE,TRUE,,,,poll17679893
EV03 Miller Branch Library - Meeting Rm,Howard,Miller Branch Library - Meeting Rm,9421 Fredrick Rd,,,Ellicott City,md,21042,,,10/27/16,11/3/16,2500029,08:00:00-4:00,20:00:00-4:00,67,"9421 Fredrick Rd, Ellicott City, MD 21042",,08:00 AM - 08:00 PM,,ho23393560,FALSE,TRUE,,,,poll53097347
EV01 Kent County Public Library,Kent,Kent County Public Library,408 High Street,,,Chestertown,md,21620,,,10/27/16,11/3/16,2500028,08:00:00-4:00,20:00:00-4:00,68,"408 High Street, Chestertown, MD 21620",,08:00 AM - 08:00 PM,,ho99162288,FALSE,TRUE,,,,poll77183007
