office-name,ocd_division,directions,precinct_name,loc_name,street,city,state,zip_code,start_time,end_time,notes,index,name,address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Grace Presbyterian Church,6301 Yorktown Blvd.,Corpus Christi,TX,78414,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,33,Grace Presbyterian Church,"6301 Yorktown Blvd., Corpus Christi, TX, 78414",07:00 AM-07:00 PM,,ho77718286,false,false,,,,poll45654250
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Grant Middle School,4350 Aaron Dr.,Corpus Christi,TX,78413,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,34,Grant Middle School,"4350 Aaron Dr., Corpus Christi, TX, 78413",07:00 AM-07:00 PM,,ho20132168,false,false,,,,poll11604195
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Hamlin Middle School,3900 Hamlin Dr.,Corpus Christi,TX,78411,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,35,Hamlin Middle School,"3900 Hamlin Dr., Corpus Christi, TX, 78411",07:00 AM-07:00 PM,,ho99871599,false,false,,,,poll40395233
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Harold T. Branch Academy,3902 Morgan St.,Corpus Christi,TX,78405,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,36,Harold T. Branch Academy,"3902 Morgan St., Corpus Christi, TX, 78405",07:00 AM-07:00 PM,,ho48317289,false,false,,,,poll49095061
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Hilltop Community Center,11425 Leopard St.,Corpus Christi,TX,78410,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,37,Hilltop Community Center,"11425 Leopard St., Corpus Christi, TX, 78410",07:00 AM-07:00 PM,,ho27928010,false,false,,,,poll41176826
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Island Presbyterian Church,14030 Fortuna Bay Dr.,Corpus Christi,TX,78418,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,38,Island Presbyterian Church,"14030 Fortuna Bay Dr., Corpus Christi, TX, 78418",07:00 AM-07:00 PM,,ho37945722,false,false,,,,poll19831970
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,John F. Kennedy Elementary,1102 Villarreal Rd.,Corpus Christi,TX,78416,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,39,John F. Kennedy Elementary,"1102 Villarreal Rd., Corpus Christi, TX, 78416",07:00 AM-07:00 PM,,ho46329801,false,false,,,,poll7429040
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Johnny Calderon Building.,710 E. Main St.,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,40,Johnny Calderon Building.,"710 E. Main St., ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho74648233,false,false,,,,poll79208562
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,Keach Family Library,1000 Terry Shamsie,ROBSTOWN,TX,78380,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,41,Keach Family Library,"1000 Terry Shamsie, ROBSTOWN, TX, 78380",07:00 AM-07:00 PM,,ho73381382,false,false,,,,poll76362088
Nueces County,ocd-division/country:us/state:tx/county:nueces,,,King High School,5225 Gollihar Rd.,Corpus Christi,TX,78412,07:00:00 - 06:00,19:00:00 - 06:00,http://www.co.nueces.tx.us/countyclerk/elections/clerks/01%20-%20ELECTION%20INFORMATION/10%20-%20Election%20Day%20Vote%20Center%20Locations%20(Updated).pdf,42,King High School,"5225 Gollihar Rd., Corpus Christi, TX, 78412",07:00 AM-07:00 PM,,ho3612241,false,false,,,,poll97814790
