ocd_division,homepage,county,loc_name,address_one,address_two,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt_1,appt_2,appt_3,subject_to_change,notes,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,False,False,False,,,11,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,01:00 PM - 04:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/3/16,10/7/16,False,False,False,,,12,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,False,False,False,,,13,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,01:00 PM - 04:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/11/16,10/14/16,False,False,False,,,14,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,False,False,False,,,15,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,01:00 PM - 04:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/17/16,10/21/16,False,False,False,,,16,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,False,False,False,,,17,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,01:00 PM - 04:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,,18,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,False,False,False,,,19,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,01:00 PM - 04:00 PM,,ho15230827,false,true,,,,poll455473
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/31/16,11/4/16,False,False,False,,,20,Alexander County Clerk,"2000 Washington Avenue, Cairo, IL, 62914",,08:00 AM - 12:00 PM,,ho15230827,false,true,,,,poll455473
