office-name,ocd-division,directions,name,street,city,state,zip,start_time,end_time,start_date,end_date,notes
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Soldiers & Sailors Memorial,200 W. Maple Avenue,Fayetteville,WV,25840,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Soldiers & Sailors Memorial,200 W. Maple Avenue,Fayetteville,WV,25840,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Soldiers & Sailors Memorial,200 W. Maple Avenue,Fayetteville,WV,25840,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Montgomery City Hall,706 3rd Avenue,Montgomery,WV,25136,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Danese Community Building,1493 Stanaford Road,Danese,WV,25831,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Danese Community Building,1493 Stanaford Road,Danese,WV,25831,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Danese Community Building,1493 Stanaford Road,Danese,WV,25831,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
Fayette County,ocd-division/country:us/state:wv/county:fayette,,Danese Community Building,1493 Stanaford Road,Danese,WV,25831,09:00:00 - 04:00,17:00:00 - 04:00,11/5/16,11/5/16,
Gilmer County,ocd-division/country:us/state:wv/county:gilmer,,Gilmer County Courthouse,10 Howard Street,Glenville,WV,26351,08:00:00 - 04:00,16:00:00 - 04:00,10/26/16,10/28/16,
Gilmer County,ocd-division/country:us/state:wv/county:gilmer,,Gilmer County Courthouse,10 Howard Street,Glenville,WV,26351,09:00:00 - 04:00,17:00:00 - 04:00,10/29/16,10/29/16,
Gilmer County,ocd-division/country:us/state:wv/county:gilmer,,Gilmer County Courthouse,10 Howard Street,Glenville,WV,26351,08:00:00 - 04:00,16:00:00 - 04:00,10/31/16,11/4/16,
