name,location_name,address1,address2,address_line3,city,state,zip_code,dirs,voter_services,start_date,end_date,start_time,end_time,days_times_open,ev_id,locality_id,county,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Elections Office Voter Service Center (VSPC),Elections Office,1033 W Gardner Ave,,,Spokane,WA,99201,Located 1/2 block west of Monroe St and one block south of Boone Ave.,VSPC,10/24/16,10/28/16,08:30:00 - 07:00,16:00:00 - 07:00,"Open Monday through Friday, except holidays, 8:30 am to 4:00 pm. Open Election Day from 7:00 am to 8:00 pm.",53050320034,5313032,Spokane County,161,"1033 W Gardner Ave, Spokane, WA , 99201",Located 1/2 block west of Monroe St and one block south of Boone Ave.,08:30 AM-04:00 PM,,ho35549135,false,true,,,,53050320034
Elections Office Voter Service Center (VSPC),Elections Office,1033 W Gardner Ave,,,Spokane,WA,99201,Located 1/2 block west of Monroe St and one block south of Boone Ave.,VSPC,10/31/16,11/4/16,08:30:00 - 07:00,16:00:00 - 07:00,"Open Monday through Friday, except holidays, 8:30 am to 4:00 pm. Open Election Day from 7:00 am to 8:00 pm.",53050320034,5313032,Spokane County,162,"1033 W Gardner Ave, Spokane, WA , 99201",Located 1/2 block west of Monroe St and one block south of Boone Ave.,08:30 AM-04:00 PM,,ho35549135,false,true,,,,53050320034
Elections Office Voter Service Center (VSPC),Elections Office,1033 W Gardner Ave,,,Spokane,WA,99201,Located 1/2 block west of Monroe St and one block south of Boone Ave.,VSPC,11/7/16,11/7/16,08:30:00 - 08:00,16:00:00 - 08:00,"Open Monday through Friday, except holidays, 8:30 am to 4:00 pm. Open Election Day from 7:00 am to 8:00 pm.",53050320034,5313032,Spokane County,163,"1033 W Gardner Ave, Spokane, WA , 99201",Located 1/2 block west of Monroe St and one block south of Boone Ave.,08:30 AM-04:00 PM,,ho35549135,false,true,,,,53050320034
Stevens County Auditor's Office,Stevens County Auditor's Office,215 S Oak St,#104,,Colville,WA,99114,,VSPC,10/19/16,10/21/16,09:00:00 - 07:00,15:30:00 - 07:00,9 a.m. to 3:30 p.m. Open until 8 p.m. on Election Day.,53050330165,5313033,Stevens County,164,"215 S Oak St, Colville, WA , 99114",#104,09:00 AM-03:30 PM,,ho55093954,false,true,,,,53050330165
Stevens County Auditor's Office,Stevens County Auditor's Office,215 S Oak St,#104,,Colville,WA,99114,,VSPC,10/24/16,10/28/16,09:00:00 - 07:00,15:30:00 - 07:00,9 a.m. to 3:30 p.m. Open until 8 p.m. on Election Day.,53050330165,5313033,Stevens County,165,"215 S Oak St, Colville, WA , 99114",#104,09:00 AM-03:30 PM,,ho55093954,false,true,,,,53050330165
Stevens County Auditor's Office,Stevens County Auditor's Office,215 S Oak St,#104,,Colville,WA,99114,,VSPC,10/31/16,11/4/16,09:00:00 - 07:00,15:30:00 - 07:00,9 a.m. to 3:30 p.m. Open until 8 p.m. on Election Day.,53050330165,5313033,Stevens County,166,"215 S Oak St, Colville, WA , 99114",#104,09:00 AM-03:30 PM,,ho55093954,false,true,,,,53050330165
Stevens County Auditor's Office,Stevens County Auditor's Office,215 S Oak St,#104,,Colville,WA,99114,,VSPC,11/7/16,11/7/16,09:00:00 - 08:00,15:30:00 - 08:00,9 a.m. to 3:30 p.m. Open until 8 p.m. on Election Day.,53050330165,5313033,Stevens County,168,"215 S Oak St, Colville, WA , 99114",#104,09:00 AM-03:30 PM,,ho55093954,false,true,,,,53050330165
Thurston County Courthouse,Thurston County Courthouse,2000 Lakeridge Drive SW,,,Olympia,WA,98502,,VSPC,10/19/16,10/21/16,08:00:00 - 07:00,16:30:00 - 07:00,"The Auditor's Office is open M-F, 8:00 a.m. to 4:30 p.m., except on Election Day when hours are extended to 8:00 a.m. to 8:00 p.m.  Voters may pick up replacement ballots, use an AutoMARK, return their ballots, etc.",53050340114,5313034,Thurston County,169,"2000 Lakeridge Drive SW, Olympia, WA , 98502",,08:00 AM-04:30 PM,,ho78963995,false,true,,,,53050340114
Thurston County Courthouse,Thurston County Courthouse,2000 Lakeridge Drive SW,,,Olympia,WA,98502,,VSPC,10/24/16,10/28/16,08:00:00 - 07:00,16:30:00 - 07:00,"The Auditor's Office is open M-F, 8:00 a.m. to 4:30 p.m., except on Election Day when hours are extended to 8:00 a.m. to 8:00 p.m.  Voters may pick up replacement ballots, use an AutoMARK, return their ballots, etc.",53050340114,5313034,Thurston County,170,"2000 Lakeridge Drive SW, Olympia, WA , 98502",,08:00 AM-04:30 PM,,ho78963995,false,true,,,,53050340114
Thurston County Courthouse,Thurston County Courthouse,2000 Lakeridge Drive SW,,,Olympia,WA,98502,,VSPC,10/31/16,11/4/16,08:00:00 - 07:00,16:30:00 - 07:00,"The Auditor's Office is open M-F, 8:00 a.m. to 4:30 p.m., except on Election Day when hours are extended to 8:00 a.m. to 8:00 p.m.  Voters may pick up replacement ballots, use an AutoMARK, return their ballots, etc.",53050340114,5313034,Thurston County,171,"2000 Lakeridge Drive SW, Olympia, WA , 98502",,08:00 AM-04:30 PM,,ho78963995,false,true,,,,53050340114
Thurston County Courthouse,Thurston County Courthouse,2000 Lakeridge Drive SW,,,Olympia,WA,98502,,VSPC,11/7/16,11/7/16,08:00:00 - 08:00,16:30:00 - 08:00,"The Auditor's Office is open M-F, 8:00 a.m. to 4:30 p.m., except on Election Day when hours are extended to 8:00 a.m. to 8:00 p.m.  Voters may pick up replacement ballots, use an AutoMARK, return their ballots, etc.",53050340114,5313034,Thurston County,172,"2000 Lakeridge Drive SW, Olympia, WA , 98502",,08:00 AM-04:30 PM,,ho78963995,false,true,,,,53050340114
Wahkiakum County Auditor's Office Voter Service Center (VSPC),Wahkiakum County Auditor's Office,"64 Main Street, 2nd Floor",2nd Floor,,Cathlamet,WA,98612,,VSPC,10/19/16,10/21/16,08:00:00 - 07:00,16:00:00 - 07:00,8 a.m. to 4 p.m. Ballot drop box can be found at the front counter. Ballots are accepted until 8pm of Election Day.,53050350040,5313035,Wahkiakum County,173,"64 Main Street, 2nd Floor, Cathlamet, WA , 98612",2nd Floor,08:00 AM-04:00 PM,,ho70090042,false,true,,,,53050350040
Wahkiakum County Auditor's Office Voter Service Center (VSPC),Wahkiakum County Auditor's Office,"64 Main Street, 2nd Floor",2nd Floor,,Cathlamet,WA,98612,,VSPC,10/24/16,10/28/16,08:00:00 - 07:00,16:00:00 - 07:00,8 a.m. to 4 p.m. Ballot drop box can be found at the front counter. Ballots are accepted until 8pm of Election Day.,53050350040,5313035,Wahkiakum County,174,"64 Main Street, 2nd Floor, Cathlamet, WA , 98612",2nd Floor,08:00 AM-04:00 PM,,ho70090042,false,true,,,,53050350040
Wahkiakum County Auditor's Office Voter Service Center (VSPC),Wahkiakum County Auditor's Office,"64 Main Street, 2nd Floor",2nd Floor,,Cathlamet,WA,98612,,VSPC,10/31/16,11/4/16,08:00:00 - 07:00,16:00:00 - 07:00,8 a.m. to 4 p.m. Ballot drop box can be found at the front counter. Ballots are accepted until 8pm of Election Day.,53050350040,5313035,Wahkiakum County,175,"64 Main Street, 2nd Floor, Cathlamet, WA , 98612",2nd Floor,08:00 AM-04:00 PM,,ho70090042,false,true,,,,53050350040
Wahkiakum County Auditor's Office Voter Service Center (VSPC),Wahkiakum County Auditor's Office,"64 Main Street, 2nd Floor",2nd Floor,,Cathlamet,WA,98612,,VSPC,11/7/16,11/7/16,08:00:00 - 08:00,16:00:00 - 08:00,8 a.m. to 4 p.m. Ballot drop box can be found at the front counter. Ballots are accepted until 8pm of Election Day.,53050350040,5313035,Wahkiakum County,177,"64 Main Street, 2nd Floor, Cathlamet, WA , 98612",2nd Floor,08:00 AM-04:00 PM,,ho70090042,false,true,,,,53050350040
Walla Walla County Elections Center,Walla Walla County Elections Center,310 W. Poplar St.,,,Walla Walla,WA,99362,,VSPC,10/21/16,10/21/16,09:00:00 - 07:00,16:00:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050360377,5313036,Walla Walla County,178,"310 W. Poplar St., Walla Walla, WA , 99362",,09:00 AM-04:00 PM,,ho35655424,false,true,,,,53050360377
Walla Walla County Elections Center,Walla Walla County Elections Center,310 W. Poplar St.,,,Walla Walla,WA,99362,,VSPC,10/24/16,10/28/16,09:00:00 - 07:00,16:00:00 - 07:00,9 a.m. to 4 p.m. Open until 8 p.m. on Election Day.,53050360377,5313036,Walla Walla County,179,"310 W. Poplar St., Walla Walla, WA , 99362",,09:00 AM-04:00 PM,,ho35655424,false,true,,,,53050360377
