index,election_administration_id,get_name,polling_location_ids,id
27,ea27,Minnesota,poll1174 poll0737 poll0763 poll0761 poll0977 poll0971 poll0877 poll0870 poll0879 poll1107 poll1106 poll1108 poll0779 poll1166 poll1165 poll0771 poll0770 poll0772 poll0942 poll0940 poll0941 poll0949 poll1124 poll1075 poll1074 poll1077 poll1076 poll0780 poll0781 poll1152 poll1150 poll1151 poll0788 poll0789 poll1158 poll1097 poll0819 poll0952 poll0701 poll0702 poll0703 poll0959 poll1099 poll0813 poll0891 poll1004 poll1000 poll1001 poll1002 poll0790 poll0797 poll0796 poll0798 poll0719 poll0807 poll0712 poll0711 poll0710 poll0922 poll0923 poll0924 poll0887 poll1133 poll1013 poll1012 poll1011 poll0888 poll0728 poll0806 poll0805 poll0721 poll0933 poll0932 poll0931 poll1022 poll1023 poll1020 poll1021 poll1141 poll1143 poll1029 poll1144 poll1090 poll0730 poll0821 poll0823 poll0822 poll0739 poll0738 poll1037 poll1030 poll1134 poll1135 poll0984 poll1039 poll0950 poll1057 poll1056 poll1058 poll0746 poll0747 poll1167 poll0913 poll0748 poll0749 poll0855 poll0856 poll0857 poll0858 poll0915 poll0914 poll0991 poll0993 poll0992 poll1126 poll1125 poll1098 poll1066 poll1067 poll0694 poll1065 poll0969 poll0960 poll0961 poll0962 poll0847 poll0846 poll0848 poll1116 poll1117 poll1115,st27
28,ea27,Minnesota,poll1184 poll1183 poll1176,st27
29,ea27,Minnesota,poll1185 poll1192 poll1193,st27
30,ea27,Minnesota,poll1202 poll1194 poll1201,st27
31,ea27,Minnesota,poll1211 poll1210 poll1203,st27
32,ea27,Minnesota,poll1219 poll1220 poll1212,st27
33,ea27,Minnesota,poll1228 poll1221 poll1229,st27
34,ea27,Minnesota,poll1230 poll1237 poll1238,st27
35,ea27,Minnesota,poll1239 poll1246 poll1247,st27
36,ea27,Minnesota,poll1255 poll1248 poll1256,st27
37,ea27,Minnesota,poll1264 poll1265 poll1257,st27
38,ea27,Minnesota,poll1266 poll1274 poll1273,st27
39,ea27,Minnesota,poll1275 poll1282 poll1283,st27
40,ea27,Minnesota,poll1291 poll1284 poll1285 poll1292,st27
41,ea27,Minnesota,poll1298 poll1305 poll1306,st27
42,ea27,Minnesota,poll1307 poll1314 poll1315,st27
43,ea27,Minnesota,poll1324 poll1316 poll1323,st27
44,ea27,Minnesota,poll1325 poll1332,st27
45,ea27,Minnesota,poll1343 poll1342 poll1341 poll1350 poll1351 poll1334,st27
46,ea27,Minnesota,poll1359 poll1352 poll1360,st27
47,ea27,Minnesota,poll1361 poll1368 poll1369,st27
48,ea27,Minnesota,poll1377 poll1378 poll1370,st27
49,ea27,Minnesota,poll1387 poll1386 poll1379,st27
50,ea27,Minnesota,poll1395 poll1396 poll1388,st27
51,ea27,Minnesota,poll1397 poll1404 poll1405,st27
52,ea27,Minnesota,poll1413 poll1406 poll1414,st27
53,ea27,Minnesota,poll1422 poll1423 poll1415,st27
