ocd_division,county,location_name,address_1,address_2,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone_num,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1630,09-23-2016,09-23-2016,False,False,False,,64,"590 40th Ave NE, Columbia Heights, MN 55421",,08:00 AM-04:30 PM,,ho7307315,false,true,,,,poll0064
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,1000,1500,11-05-2016,11-05-2016,False,False,False,,71,"590 40th Ave NE, Columbia Heights, MN 55421",,10:00 AM-03:00 PM,,ho7307315,false,true,,,,poll0071
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbia Heights City Hall,590 40th Ave NE,,Columbia Heights,MN,55421,800,1700,11-07-2016,11-07-2016,False,False,False,,72,"590 40th Ave NE, Columbia Heights, MN 55421",,08:00 AM-05:00 PM,,ho7307315,false,true,,,,poll0072
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1600,09-23-2016,09-23-2016,False,False,False,,73,"16319 Kettle River Blvd, Columbus, MN 55025",,08:00 AM-04:00 PM,,ho32517885,false,true,,,,poll0073
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,800,1700,09-28-2016,09-28-2016,False,False,False,,75,"16319 Kettle River Blvd, Columbus, MN 55025",,08:00 AM-05:00 PM,,ho32517885,false,true,,,,poll0075
ocd-division/country:us/state:mn/county:anoka,Anoka,Columbus City Hall,16319 Kettle River Blvd,,Columbus,MN,55025,1000,1500,11-05-2016,11-05-2016,False,False,False,,92,"16319 Kettle River Blvd, Columbus, MN 55025",,10:00 AM-03:00 PM,,ho32517885,false,true,,,,poll0092
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1630,09-23-2016,09-23-2016,False,False,False,,94,"11155 Robinson Dr, Coon Rapids, MN 55433",,08:00 AM-04:30 PM,,ho79944931,false,true,,,,poll0094
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,1000,1500,11-05-2016,11-05-2016,False,False,False,,101,"11155 Robinson Dr, Coon Rapids, MN 55433",,10:00 AM-03:00 PM,,ho79944931,false,true,,,,poll0101
ocd-division/country:us/state:mn/county:anoka,Anoka,Coon Rapids City Hall,11155 Robinson Dr,,Coon Rapids,MN,55433,800,1700,11-07-2016,11-07-2016,False,False,False,,102,"11155 Robinson Dr, Coon Rapids, MN 55433",,08:00 AM-05:00 PM,,ho79944931,false,true,,,,poll0102
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1600,09-23-2016,09-23-2016,False,False,False,,103,"2241 221st Ave NE, East Bethel, MN 55011",,08:00 AM-04:00 PM,,ho28009172,false,true,,,,poll0103
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,1000,1500,11-05-2016,11-05-2016,False,False,False,,110,"2241 221st Ave NE, East Bethel, MN 55011",,10:00 AM-03:00 PM,,ho28009172,false,true,,,,poll0110
ocd-division/country:us/state:mn/county:anoka,Anoka,East Bethel City Hall,2241 221st Ave NE,,East Bethel,MN,55011,800,1700,11-07-2016,11-07-2016,False,False,False,,111,"2241 221st Ave NE, East Bethel, MN 55011",,08:00 AM-05:00 PM,,ho28009172,false,true,,,,poll0111
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1630,09-23-2016,09-23-2016,False,False,False,,112,"6431 University Ave NE, Fridley, MN 55432",,08:00 AM-04:30 PM,,ho89351416,false,true,,,,poll0112
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,1000,1500,11-05-2016,11-05-2016,False,False,False,,119,"6431 University Ave NE, Fridley, MN 55432",,10:00 AM-03:00 PM,,ho89351416,false,true,,,,poll0119
ocd-division/country:us/state:mn/county:anoka,Anoka,Fridley Municipal Center,6431 University Ave NE,,Fridley,MN,55432,800,1700,11-07-2016,11-07-2016,False,False,False,,120,"6431 University Ave NE, Fridley, MN 55432",,08:00 AM-05:00 PM,,ho89351416,false,true,,,,poll0120
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1200,09-23-2016,09-23-2016,False,False,False,,121,"15544 Central Ave NE, Ham Lake, MN 55304",,07:00 AM-12:00 PM,,ho12440546,false,true,,,,poll0121
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1630,09-26-2016,09-29-2016,False,False,False,,128,"15544 Central Ave NE, Ham Lake, MN 55304",,07:00 AM-04:30 PM,,ho12440546,false,true,,,,poll0128
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,1000,1500,11-05-2016,11-05-2016,False,False,False,,134,"15544 Central Ave NE, Ham Lake, MN 55304",,10:00 AM-03:00 PM,,ho12440546,false,true,,,,poll0134
ocd-division/country:us/state:mn/county:anoka,Anoka,Ham Lake City Hall,15544 Central Ave NE,,Ham Lake,MN,55304,700,1700,11-07-2016,11-07-2016,False,False,False,,135,"15544 Central Ave NE, Ham Lake, MN 55304",,07:00 AM-05:00 PM,,ho12440546,false,true,,,,poll0135
ocd-division/country:us/state:mn/county:anoka,Anoka,Hilltop City Hall,4555 Jackson St,,Hilltop,MN,55421,800,1630,09-23-2016,09-23-2016,False,False,False,,136,"4555 Jackson St, Hilltop, MN 55421",,08:00 AM-04:30 PM,,ho8164291,false,true,,,,poll0136
ocd-division/country:us/state:mn/county:anoka,Anoka,Hilltop City Hall,4555 Jackson St,,Hilltop,MN,55421,1000,1500,11-05-2016,11-05-2016,False,False,False,,143,"4555 Jackson St, Hilltop, MN 55421",,10:00 AM-03:00 PM,,ho8164291,false,true,,,,poll0143
ocd-division/country:us/state:mn/county:anoka,Anoka,Hilltop City Hall,4555 Jackson St,,Hilltop,MN,55421,800,1700,11-07-2016,11-07-2016,False,False,False,,144,"4555 Jackson St, Hilltop, MN 55421",,08:00 AM-05:00 PM,,ho8164291,false,true,,,,poll0144
ocd-division/country:us/state:mn/county:anoka,Anoka,Lexington Offices,9180 Lexington Ave,,Lexington,MN,55014,800,1630,09-23-2016,09-23-2016,False,False,False,,145,"9180 Lexington Ave, Lexington, MN 55014",,08:00 AM-04:30 PM,,ho59198031,false,true,,,,poll0145
ocd-division/country:us/state:mn/county:anoka,Anoka,Lexington Offices,9180 Lexington Ave,,Lexington,MN,55014,1000,1500,11-05-2016,11-05-2016,False,False,False,,152,"9180 Lexington Ave, Lexington, MN 55014",,10:00 AM-03:00 PM,,ho59198031,false,true,,,,poll0152
ocd-division/country:us/state:mn/county:anoka,Anoka,Lexington Offices,9180 Lexington Ave,,Lexington,MN,55014,800,1700,11-07-2016,11-07-2016,False,False,False,,153,"9180 Lexington Ave, Lexington, MN 55014",,08:00 AM-05:00 PM,,ho59198031,false,true,,,,poll0153
ocd-division/country:us/state:mn/county:anoka,Anoka,Lino Lakes City Hall,600 Town Center Pkwy,,Lino Lakes,MN,55014,800,1630,09-23-2016,09-23-2016,False,False,False,,154,"600 Town Center Pkwy, Lino Lakes, MN 55014",,08:00 AM-04:30 PM,,ho18860467,false,true,,,,poll0154
ocd-division/country:us/state:mn/county:anoka,Anoka,Lino Lakes City Hall,600 Town Center Pkwy,,Lino Lakes,MN,55014,1000,1500,11-05-2016,11-05-2016,False,False,False,,161,"600 Town Center Pkwy, Lino Lakes, MN 55014",,10:00 AM-03:00 PM,,ho18860467,false,true,,,,poll0161
ocd-division/country:us/state:mn/county:anoka,Anoka,Lino Lakes City Hall,600 Town Center Pkwy,,Lino Lakes,MN,55014,800,1700,11-07-2016,11-07-2016,False,False,False,,162,"600 Town Center Pkwy, Lino Lakes, MN 55014",,08:00 AM-05:00 PM,,ho18860467,false,true,,,,poll0162
ocd-division/country:us/state:mn/county:anoka,Anoka,Linwood Town Hall,22817 Typo Creek Dr NE,,Stacy,MN,55079,800,1630,09-23-2016,09-23-2016,False,False,False,,163,"22817 Typo Creek Dr NE, Stacy, MN 55079",,08:00 AM-04:30 PM,,ho93026825,false,true,,,,poll0163
ocd-division/country:us/state:mn/county:anoka,Anoka,Linwood Town Hall,22817 Typo Creek Dr NE,,Stacy,MN,55079,1000,1500,11-05-2016,11-05-2016,False,False,False,,170,"22817 Typo Creek Dr NE, Stacy, MN 55079",,10:00 AM-03:00 PM,,ho93026825,false,true,,,,poll0170
