office,name,adr_1,adr_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt,ocd-id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
PALMER,MAT-SU BOROUGH BUILDING,350 E DAHLIA AVE,,,,AK,,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:12,354,"350 E Dahlia Ave, , AK ",,08:00 AM - 05:00 PM,,ho40754324,false,true,,,,poll40754324
King Cove,KING COVE CITY OFFICE,37 MAIN STREET,,,King Kove,AK,99612,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,355,"37 Main Street, King Kove, AK 99612",,08:00 AM - 05:00 PM,,ho46311699,false,true,,,,poll46311699
King Cove,KING COVE CITY OFFICE,37 MAIN STREET,,,King Kove,AK,99612,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,356,"37 Main Street, King Kove, AK 99612",,08:00 AM - 05:00 PM,,ho46311699,false,true,,,,poll46311699
King Cove,KING COVE CITY OFFICE,37 MAIN STREET,,,King Kove,AK,99612,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,357,"37 Main Street, King Kove, AK 99612",,08:00 AM - 05:00 PM,,ho46311699,false,true,,,,poll46311699
OUZINKIE,OUZINKIE CLERK'S OFFICE,3RD AND C ST,,,OUZINKIE,AK,99644,10:00:00 - 08:00,12:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32,358,"3Rd And C St, Ouzinkie, AK 99644",,10:00 AM - 12:00 PM,,ho38797090,false,true,,,,poll38797090
OUZINKIE,OUZINKIE CLERK'S OFFICE,3RD AND C ST,,,OUZINKIE,AK,99644,10:00:00 - 08:00,12:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32,359,"3Rd And C St, Ouzinkie, AK 99644",,10:00 AM - 12:00 PM,,ho38797090,false,true,,,,poll38797090
OUZINKIE,OUZINKIE CLERK'S OFFICE,3RD AND C ST,,,OUZINKIE,AK,99644,10:00:00 - 08:00,12:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32,360,"3Rd And C St, Ouzinkie, AK 99644",,10:00 AM - 12:00 PM,,ho38797090,false,true,,,,poll38797090
Koyuk,KOYUK CITY CLERK'S OFFICE,3RD AVE & BIRCH STREET,,,Koyuk,AK,99753,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39,361,"3Rd Ave & Birch Street, Koyuk, AK 99753",,09:00 AM - 05:00 PM,,ho16030773,false,true,,,,poll16030773
Koyuk,KOYUK CITY CLERK'S OFFICE,3RD AVE & BIRCH STREET,,,Koyuk,AK,99753,09:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:39,362,"3Rd Ave & Birch Street, Koyuk, AK 99753",,09:00 AM - 05:00 PM,,ho16030773,false,true,,,,poll16030773
Koyuk,KOYUK CITY CLERK'S OFFICE,3RD AVE & BIRCH STREET,,,Koyuk,AK,99753,09:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:39,363,"3Rd Ave & Birch Street, Koyuk, AK 99753",,09:00 AM - 05:00 PM,,ho16030773,false,true,,,,poll16030773
Kotlik,KOTLIK CITY CLERK'S OFFICE,4 Main St,,,Kotlik,AK,99620,09:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:39,364,"4 Main St, Kotlik, AK 99620",,09:00 AM - 05:00 PM,,ho23796633,false,true,,,,poll23796633
