index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
179,"2150 Universal City Blvd, Universal City, TX 78148",,08:00 AM-06:00 PM,,ho78889085,false,true,,,,poll31143408
183,"1 UTSA Circle, San Antonio, TX 78249",,08:00 AM-06:00 PM,,ho83681778,false,true,,,,poll35083728
187,"9310 Jim Seal Dr, San Antonio, TX 78233",,08:00 AM-06:00 PM,,ho51827644,false,true,,,,poll79776802
191,"4522 Fredericksburg Rd, San Antonio, TX 78201",,08:00 AM-06:00 PM,,ho420013,false,true,,,,poll33895652
195,"101 E. Cypress St., Johnson City, TX 78636",,08:00 AM-04:30 PM,,ho25825754,false,true,,,,poll86792495
196,"607 Chandler St, Blanco, TX 78606",,08:00 AM-04:00 PM,,ho50536640,false,true,,,,poll38772393
199,"104 West Morgan St., Meridian, TX 76665",,08:00 AM-05:00 PM,,ho76102842,false,true,,,,poll17664989
203,"710 James Bowie Dr, New Boston, TX 75570",,08:00 AM-05:00 PM,,ho6002693,false,true,,,,poll29711485
209,"100 N Stateline Ave, Texarkana, TX 75501",,08:00 AM-05:00 PM,,ho62827337,false,true,,,,poll98812612
215,"Courthouse, 119 S. Maxwell, Room 107, Tulia, TX 79088",,08:00 AM-05:00 PM,,ho90732875,false,true,,,,poll41367989
217,"2700 Premier St, Fort Worth, TX 76111-3011",,08:00 AM-05:00 PM,,ho18968881,false,true,,,,poll17889478
222,"Bob Duncan Center 2800 S Center Street, Arlington, TX 76014",,08:00 AM-05:00 PM,,ho52688652,false,true,,,,poll72629661
227,"Elzie Odom Athletic Center 1601 NE Green Oaks Boulevard, Arlington, TX 76006",,08:00 AM-05:00 PM,,ho68254338,false,true,,,,poll54920162
232,"Center for Community Service Junior League of Arlington 4002 W Pioneer Parkway, Arlington, TX 76013",,08:00 AM-05:00 PM,,ho46290008,false,true,,,,poll2295173
237,"South Service Center 1100 SW Green Oaks Boulevard, Arlington, TX 76017",,08:00 AM-05:00 PM,,ho77761185,false,true,,,,poll59124452
242,"Tarrant County Sub Courthouse in Arlington 700 E Abram Street, Arlington, TX 76010",,08:00 AM-05:00 PM,,ho90008223,false,true,,,,poll45429394
247,"Tarrant County College Southeast Campus EMB C Portable Building 2100 Southeast Parkway, Arlington, TX 76018",,08:00 AM-05:00 PM,,ho1144512,false,true,,,,poll95725678
