index,election_administration_id,external_identifier_type,external_identifier_othertype,external_identifier_value,name,polling_location_ids,state_id,type,other_type,id
65,ea0065,,,ocd-division/country:us/state:me/place:bridgewater,bridgewater_town0065,,st19,,,loc0065
66,ea0066,,,ocd-division/country:us/state:me/place:bridgton,bridgton_town0066,,st19,,,loc0066
67,ea0067,,,ocd-division/country:us/state:me/place:brighton,brighton_plantation0067,,st19,,,loc0067
68,ea0068,,,ocd-division/country:us/state:me/place:bristol,bristol_city0068,,st19,,,loc0068
69,ea0069,,,ocd-division/country:us/state:me/place:brooklin,brooklin_town0069,,st19,,,loc0069
70,ea0070,,,ocd-division/country:us/state:me/place:brooklin,brooklin_town0070,,st19,,,loc0070
71,ea0071,,,ocd-division/country:us/state:me/place:brooks,brooks_town0071,,st19,,,loc0071
72,ea0072,,,ocd-division/country:us/state:me/place:brooksville,brooksville_town0072,,st19,,,loc0072
73,ea0073,,,ocd-division/country:us/state:me/place:brookton,brookton_township0073,,st19,,,loc0073
74,ea0074,,,ocd-division/country:us/state:me/place:brownfield,brownfield_town0074,,st19,,,loc0074
75,ea0075,,,ocd-division/country:us/state:me/place:brownville,brownville_town0075,,st19,,,loc0075
76,ea0076,,,ocd-division/country:us/state:me/place:brunswick,brunswick_town0076,,st19,,,loc0076
77,ea0077,,,ocd-division/country:us/state:me/place:buckfield,buckfield_town0077,,st19,,,loc0077
78,ea0078,,,ocd-division/country:us/state:me/place:bucksport,bucksport_town0078,,st19,,,loc0078
79,ea0079,,,ocd-division/country:us/state:me/place:burlington,burlington_town0079,,st19,,,loc0079
80,ea0080,,,ocd-division/country:us/state:me/place:burnham,burnham_town0080,,st19,,,loc0080
81,ea0081,,,ocd-division/country:us/state:me/place:buxton,buxton_town0081,,st19,,,loc0081
82,ea0082,,,ocd-division/country:us/state:me/place:buxton,buxton_town0082,,st19,,,loc0082
83,ea0083,,,ocd-division/country:us/state:me/place:byron,byron_town0083,,st19,,,loc0083
84,ea0084,,,ocd-division/country:us/state:me/place:calais,calais_city0084,,st19,,,loc0084
85,ea0085,,,ocd-division/country:us/state:me/place:cambridge,cambridge_town0085,,st19,,,loc0085
86,ea0086,,,ocd-division/country:us/state:me/place:camden,camden_town0086,,st19,,,loc0086
87,ea0087,,,ocd-division/country:us/state:me/place:canaan,canaan_town0087,,st19,,,loc0087
88,ea0088,,,ocd-division/country:us/state:me/place:canton,canton_town0088,,st19,,,loc0088
89,ea0089,,,ocd-division/country:us/state:me/place:cape_elizabeth,cape_elizabeth_town0089,,st19,,,loc0089
90,ea0090,,,ocd-division/country:us/state:me/place:caratunk,caratunk_town0090,,st19,,,loc0090
91,ea0091,,,ocd-division/country:us/state:me/place:caribou,caribou_city0091,,st19,,,loc0091
92,ea0092,,,ocd-division/country:us/state:me/place:carmel,carmel_town0092,,st19,,,loc0092
93,ea0093,,,ocd-division/country:us/state:me/place:carrabassett_valley,carrabassett_valley_town0093,,st19,,,loc0093
94,ea0094,,,ocd-division/country:us/state:me/place:carroll,carroll_plantation0094,,st19,,,loc0094
95,ea0095,,,ocd-division/country:us/state:me/place:carthage,carthage_town0095,,st19,,,loc0095
96,ea0096,,,ocd-division/country:us/state:me/place:cary,cary_plantation0096,,st19,,,loc0096
97,ea0097,,,ocd-division/country:us/state:me/place:casco,casco_town0097,,st19,,,loc0097
98,ea0098,,,ocd-division/country:us/state:me/place:casco,casco_town0098,,st19,,,loc0098
99,ea0099,,,ocd-division/country:us/state:me/place:castine,castine_town0099,,st19,,,loc0099
100,ea0100,,,ocd-division/country:us/state:me/place:castle_hill,castle_hill_town100,,st19,,,loc0100
101,ea0101,,,ocd-division/country:us/state:me/place:castle_hill,castle_hill_town0101,,st19,,,loc0101
102,ea0102,,,ocd-division/country:us/state:me/place:caswell,caswell_town0102,,st19,,,loc0102
103,ea0103,,,ocd-division/country:us/state:me/place:chapman,chapman_town0103,,st19,,,loc0103
104,ea0104,,,ocd-division/country:us/state:me/place:chapman,chapman_town0104,,st19,,,loc0104
105,ea0105,,,ocd-division/country:us/state:me/place:charleston,charleston_town0105,,st19,,,loc0105
106,ea0106,,,ocd-division/country:us/state:me/place:charlotte,charlotte_town0106,,st19,,,loc0106
107,ea0107,,,ocd-division/country:us/state:me/place:chebeague_island,chebeague_island_town0107,,st19,,,loc0107
108,ea0108,,,ocd-division/country:us/state:me/place:chelsea,chelsea_town0108,,st19,,,loc0108
109,ea0109,,,ocd-division/country:us/state:me/place:cherryfield,cherryfield_town0109,,st19,,,loc0109
110,ea0110,,,ocd-division/country:us/state:me/place:chester,chester_town0110,,st19,,,loc0110
111,ea0111,,,ocd-division/country:us/state:me/place:chesterville,chesterville_town0111,,st19,,,loc0111
112,ea0112,,,ocd-division/country:us/state:me/place:china,china_town0112,,st19,,,loc0112
113,ea0113,,,ocd-division/country:us/state:me/place:clifton,clifton_town0113,,st19,,,loc0113
114,ea0114,,,ocd-division/country:us/state:me/place:clinton,clinton_town0114,,st19,,,loc0114
115,ea0115,,,ocd-division/country:us/state:me/place:codyville,codyville_plantation0115,,st19,,,loc0115
116,ea0116,,,ocd-division/country:us/state:me/place:columbia,columbia_town0116,,st19,,,loc0116
117,ea0117,,,ocd-division/country:us/state:me/place:columbia_falls,columbia_falls_town0117,,st19,,,loc0117
118,ea0118,,,ocd-division/country:us/state:me/place:connor,connor_township0118,,st19,,,loc0118
