office-name,official-title,types,ocd-division,description,homepage,phone,email,street,city,state,zip,start_time,end_time,start_date,end_date,appt,notes,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,10/11/16,10/14/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",1,"31 Exeter Road, Corinth, ME 04427",,07:30 AM-06:00 PM,,ho99772053,false,true,,,,poll92921993
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,10/18/16,10/21/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",2,"31 Exeter Road, Corinth, ME 04427",,07:30 AM-06:00 PM,,ho99772053,false,true,,,,poll92921993
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,10/25/16,10/28/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",3,"31 Exeter Road, Corinth, ME 04427",,07:30 AM-06:00 PM,,ho99772053,false,true,,,,poll92921993
Corinth Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:corinth,Corinth Town ME,,(207) 285-3271,,31 Exeter Road,Corinth,ME,4427,07:30:00 - 04:00,18:00:00 - 04:00,11/1/16,11/3/16,,"Oct 11 - Nov 3, 7:30-6 T-Fri",4,"31 Exeter Road, Corinth, ME 04427",,07:30 AM-06:00 PM,,ho99772053,false,true,,,,poll92921993
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/11/16,10/11/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",5,"15 Upper Guinea Rd, Lebanon, ME 04027",,07:00 AM-05:00 PM,,ho69566529,false,true,,,,poll32861603
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,09:00:00 - 04:00,19:00:00 - 04:00,10/13/16,10/13/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",6,"15 Upper Guinea Rd, Lebanon, ME 04027",,09:00 AM-07:00 PM,,ho69566529,false,true,,,,poll32861603
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/14/16,10/14/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",7,"15 Upper Guinea Rd, Lebanon, ME 04027",,07:00 AM-05:00 PM,,ho69566529,false,true,,,,poll32861603
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/17/16,10/18/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",8,"15 Upper Guinea Rd, Lebanon, ME 04027",,07:00 AM-05:00 PM,,ho69566529,false,true,,,,poll32861603
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,09:00:00 - 04:00,19:00:00 - 04:00,10/20/16,10/20/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",9,"15 Upper Guinea Rd, Lebanon, ME 04027",,09:00 AM-07:00 PM,,ho69566529,false,true,,,,poll32861603
Lebanon Town,Municipal Clerk,:election,ocd-division/country:us/state:me/place:lebanon,Lebanon Town ME,,(207) 457-6082,,15 Upper Guinea Rd,Lebanon,ME,4027,07:00:00 - 04:00,17:00:00 - 04:00,10/21/16,10/21/16,,"Oct 11 - nov 3, MT/F, 7-5PM, th, 9-7pm, closed on Wed",10,"15 Upper Guinea Rd, Lebanon, ME 04027",,07:00 AM-05:00 PM,,ho69566529,false,true,,,,poll32861603
