ocd_division,homepage_url,county,location_name,address_1,address_2,city,state,zip_code,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,appointment_phone,is_subject_to_change,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,False,False,False,False,22,"110 Cottage St. Ste 106, Ashland, OH 44805",,08:00 AM-04:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,False,False,False,False,23,"110 Cottage St. Ste 106, Ashland, OH 44805",,01:00 PM-05:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,False,False,False,False,24,"110 Cottage St. Ste 106, Ashland, OH 44805",,08:00 AM-07:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,False,False,False,False,25,"110 Cottage St. Ste 106, Ashland, OH 44805",,08:00 AM-04:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,False,False,False,False,26,"110 Cottage St. Ste 106, Ashland, OH 44805",,01:00 PM-05:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashland,http://www.ashlandboe.com/,Ashland County,,110 Cottage St.,Ste 106,Ashland,OH,44805,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,False,False,False,False,27,"110 Cottage St. Ste 106, Ashland, OH 44805",,08:00 AM-02:00 PM,,ho47946498,false,false,,,,poll17508488
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,False,False,False,False,28,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-05:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,False,False,False,False,29,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-05:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,False,False,False,False,30,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-06:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,False,False,False,False,31,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-04:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,False,False,False,False,32,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,01:00 PM-05:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,False,False,False,False,33,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-07:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,False,False,False,False,34,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-04:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,False,False,False,False,35,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,01:00 PM-05:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:ashtabula,http://www.electionsonthe.net/oh/ashtabula/,Ashtabula County,Bureau of Motor Vehicle,8 W. Walnut St.,,Jefferson,OH,44047,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,False,False,False,False,36,"Bureau of Motor Vehicle, 8 W. Walnut St., Jefferson, OH 44047",,08:00 AM-02:00 PM,,ho27068054,false,false,,,,poll62142943
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,False,False,False,False,37,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,08:00 AM-05:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,False,False,False,False,38,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,08:00 AM-05:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,False,False,False,False,39,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,08:00 AM-06:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,False,False,False,False,40,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,08:00 AM-04:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,False,False,False,False,41,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,01:00 PM-05:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,False,False,False,False,42,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,08:00 AM-07:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,False,False,False,False,43,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,08:00 AM-04:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,False,False,False,False,44,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,01:00 PM-05:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:athens,http://electionsonthe.net/oh/Athens/,Athens County,Courthouse Annex ,15 S. Court St.,Room 130,Athens,OH,45701,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,False,False,False,False,45,"Courthouse Annex , 15 S. Court St. Room 130, Athens, OH 45701",,08:00 AM-02:00 PM,,ho49161635,false,false,,,,poll90102753
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,False,False,False,False,46,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,08:00 AM-05:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,False,False,False,False,47,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,08:00 AM-05:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,False,False,False,False,48,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,08:00 AM-06:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,False,False,False,False,49,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,08:00 AM-04:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,False,False,False,False,50,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,01:00 PM-05:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,False,False,False,False,51,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,08:00 AM-07:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,False,False,False,False,52,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,08:00 AM-04:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,False,False,False,False,53,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,01:00 PM-05:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:auglaize,http://www2.auglaizecounty.org/departments/board-of-elections,Auglaize County,Administration Building,209 S. Blackhoof Street,Room 205,Wapakoneta,OH,45895,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,False,False,False,False,54,"Administration Building, 209 S. Blackhoof Street Room 205, Wapakoneta, OH 45895",,08:00 AM-02:00 PM,,ho87454522,false,false,,,,poll87219434
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,False,False,False,False,55,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,08:00 AM-05:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,False,False,False,False,56,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,08:00 AM-05:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,False,False,False,False,57,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,08:00 AM-06:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,False,False,False,False,58,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,08:00 AM-04:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,False,False,False,False,59,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,01:00 PM-05:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,08:00:00 - 04:00,19:00:00 - 04:00,10-31-2016,11-04-2016,False,False,False,False,60,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,08:00 AM-07:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,08:00:00 - 04:00,16:00:00 - 04:00,11-05-2016,11-05-2016,False,False,False,False,61,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,08:00 AM-04:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,13:00:00 - 05:00,17:00:00 - 05:00,11-06-2016,11-06-2016,False,False,False,False,62,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,01:00 PM-05:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:belmont,http://www.electionsonthe.net/oh/belmont/,Belmont County,Veterans Affairs Building,103 Plaza Dr.,Ste B,St. Clairsville,OH,43950,08:00:00 - 05:00,14:00:00 - 05:00,11-07-2016,11-07-2016,False,False,False,False,63,"Veterans Affairs Building, 103 Plaza Dr. Ste B, St. Clairsville, OH 43950",,08:00 AM-02:00 PM,,ho79281884,false,false,,,,poll35323706
ocd-division/country:us/state:oh/county:brown,http://www.electionsonthe.net/Oh/Brown/,Brown County,County Administration Building,"Administration Building, 800 Mt. Orab Pk.",Ste 111,Georgetown,OH,45121,08:00:00 - 04:00,17:00:00 - 04:00,10-12-2016,10-14-2016,False,False,False,False,64,"County Administration Building, Administration Building, 800 Mt. Orab Pk. Ste 111, Georgetown, OH 45121",,08:00 AM-05:00 PM,,ho8886178,false,false,,,,poll4893054
ocd-division/country:us/state:oh/county:brown,http://www.electionsonthe.net/Oh/Brown/,Brown County,County Administration Building,"Administration Building, 800 Mt. Orab Pk.",Ste 111,Georgetown,OH,45121,08:00:00 - 04:00,17:00:00 - 04:00,10-17-2016,10-21-2016,False,False,False,False,65,"County Administration Building, Administration Building, 800 Mt. Orab Pk. Ste 111, Georgetown, OH 45121",,08:00 AM-05:00 PM,,ho8886178,false,false,,,,poll4893054
ocd-division/country:us/state:oh/county:brown,http://www.electionsonthe.net/Oh/Brown/,Brown County,County Administration Building,"Administration Building, 800 Mt. Orab Pk.",Ste 111,Georgetown,OH,45121,08:00:00 - 04:00,18:00:00 - 04:00,10-24-2016,10-28-2016,False,False,False,False,66,"County Administration Building, Administration Building, 800 Mt. Orab Pk. Ste 111, Georgetown, OH 45121",,08:00 AM-06:00 PM,,ho8886178,false,false,,,,poll4893054
ocd-division/country:us/state:oh/county:brown,http://www.electionsonthe.net/Oh/Brown/,Brown County,County Administration Building,"Administration Building, 800 Mt. Orab Pk.",Ste 111,Georgetown,OH,45121,08:00:00 - 04:00,16:00:00 - 04:00,10-29-2016,10-29-2016,False,False,False,False,67,"County Administration Building, Administration Building, 800 Mt. Orab Pk. Ste 111, Georgetown, OH 45121",,08:00 AM-04:00 PM,,ho8886178,false,false,,,,poll4893054
ocd-division/country:us/state:oh/county:brown,http://www.electionsonthe.net/Oh/Brown/,Brown County,County Administration Building,"Administration Building, 800 Mt. Orab Pk.",Ste 111,Georgetown,OH,45121,13:00:00 - 04:00,17:00:00 - 04:00,10-30-2016,10-30-2016,False,False,False,False,68,"County Administration Building, Administration Building, 800 Mt. Orab Pk. Ste 111, Georgetown, OH 45121",,01:00 PM-05:00 PM,,ho8886178,false,false,,,,poll4893054
