ocd-division,homepage-url,County,Location Name,Address 1,Address 2,dirs,city,state,zip,start_time,end_time,start_date,end_date,is_only_by_appointment,is_or_by_appointment,is_subject_to_change,notes
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,08:00:00 - 06:00,12:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:alexander,,Alexander County,Alexander County Clerk,2000 Washington Avenue,,,Cairo,IL,62914,13:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bond,,Bond County,Bond County Clerk County Office,203 West College,,,Greenville,IL,62246,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/10/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,09:00:00 - 05:00,12:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:boone,http://www.boonecountyil.org/content/voter-and-election-information,Boone County,Boone County Clerk Office,"1212 Logan Avenue, Ste 103", ,,Belvidere,IL,61008,08:30:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:brown,,Brown County,Brown County Court House,200 Court Street,Room 4,,Mt. Sterling,IL,62353,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,14:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 05:00,14:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Clerk Office in Bureau County Court House,700 South Main Street,Room 104,,Princeton,IL,61356,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Princeton Moose Lodge,1339 North Euclid Ave,,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Princeton Moose Lodge,1339 North Euclid Ave,,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Princeton Moose Lodge,1339 North Euclid Ave,,,Princeton,IL,61356,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Spring Valley City Hall,"215 North Greenwood, #2",,,Spring Valley,IL,61362,09:00:00 - 05:00,15:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Spring Valley City Hall,"215 North Greenwood, #2",,,Spring Valley,IL,61362,09:00:00 - 05:00,15:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:bureau,http://www.bureaucountyclerk.com/,Bureau County,Spring Valley City Hall,"215 North Greenwood, #2",,,Spring Valley,IL,61362,09:00:00 - 05:00,15:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 05:00,16:30:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:calhoun,,Calhoun County,Calhoun County Clerk Office,106 North County Road,,,Hardin,IL,62047,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,09:00:00 - 05:00,12:00:00 - 05:00,10/8/16,10/8/16,,,,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,08:30:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,09:00:00 - 05:00,12:00:00 - 05:00,10/29/16,10/29/16,,,,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:carroll,http://www.carroll-county.net/index.asp?SEC=001FFB74-9846-4774-BCF2-566081E09851&Type=B_BASIC,Carroll County,Carroll County Clerk Office,301 North Main,,,Mt. Carroll,IL,61053,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Cass County Clerk Office,100 East Springfield Street,,,Virginia,IL,62691,08:30:00 - 05:00,16:30:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Cass County Clerk Office,100 East Springfield Street,,,Virginia,IL,62691,08:30:00 - 05:00,16:30:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Cass County Clerk Office,100 East Springfield Street,,,Virginia,IL,62691,08:30:00 - 05:00,16:30:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Cass County Clerk Office,100 East Springfield Street,,,Virginia,IL,62691,08:30:00 - 05:00,16:30:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Cass County Clerk Office,100 East Springfield Street,,,Virginia,IL,62691,08:30:00 - 05:00,16:30:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Cass County Clerk Office,100 East Springfield Street,,,Virginia,IL,62691,08:30:00 - 05:00,16:30:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Cass County Clerk Office,100 East Springfield Street,,,Virginia,IL,62691,08:30:00 - 06:00,16:30:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Beardstown County Clerk Office,105 West 3rd St,,,Beardstown,IL,62618,08:00:00 - 05:00,17:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Beardstown County Clerk Office,105 West 3rd St,,,Beardstown,IL,62618,08:00:00 - 05:00,17:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:cass,,Cass County,Beardstown County Clerk Office,105 West 3rd St,,,Beardstown,IL,62618,08:00:00 - 06:00,17:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,09:00:00 - 05:00,13:00:00 - 05:00,10/15/16,10/15/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,09:00:00 - 05:00,13:00:00 - 05:00,10/22/16,10/22/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,09:00:00 - 05:00,13:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,08:00:00 - 05:00,16:00:00 - 05:00,10/31/16,11/4/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,09:00:00 - 05:00,13:00:00 - 05:00,11/5/16,11/5/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:christian,http://www.christiancountyil.com/elections.htm,Christian County,Christian County Clerk Office,101 South Main,2nd Floor,,Taylorville,IL,62568,08:00:00 - 06:00,16:00:00 - 06:00,11/7/16,11/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,08:00:00 - 05:00,16:00:00 - 05:00,9/29/16,9/30/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,08:00:00 - 05:00,16:00:00 - 05:00,10/3/16,10/7/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,09:00:00 - 05:00,12:00:00 - 05:00,10/8/16,10/8/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,08:00:00 - 05:00,16:00:00 - 05:00,10/11/16,10/14/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,08:00:00 - 05:00,16:00:00 - 05:00,10/17/16,10/21/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,09:00:00 - 05:00,12:00:00 - 05:00,10/22/16,10/22/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,08:00:00 - 05:00,16:00:00 - 05:00,10/24/16,10/28/16,FALSE,FALSE,FALSE,
ocd-division/country:us/state:il/county:clark,http://www.clarkcountyil.org,Clark County,Clark County Clerk's Office,501 Archer,,,Marshall,IL,62441,09:00:00 - 05:00,12:00:00 - 05:00,10/29/16,10/29/16,FALSE,FALSE,FALSE,
