name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_date,end_date,start_time,end_time,ev id,locality id
ACADIA,,568  NW COURT CIRCLE,,,CROWLEY,LA,70526,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,601,202
ACADIA,,568  NW COURT CIRCLE,,,CROWLEY,LA,70526,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,601,202
ALLEN,,105 N FIFTH ST,,,OBERLIN,LA,70655,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,602,203
ALLEN,,105 N FIFTH ST,,,OBERLIN,LA,70655,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,602,203
ASCENSION,Courthouse Annex,828 S IRMA BLVD,,,GONZALES,LA,70737,Rm 205,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,603,204
ASCENSION,Courthouse Annex,828 S IRMA BLVD,,,GONZALES,LA,70737,Rm 205,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,603,204
ASCENSION,Couthouse West,300 HOUMAS ST,,,DONALDSONVILLE,LA,70346,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,604,204
ASCENSION,Couthouse West,300 HOUMAS ST,,,DONALDSONVILLE,LA,70346,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,604,204
ASSUMPTION,Courthouse,4809 HIGHWAY 1,,,NAPOLEONVILLE,LA,70390,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,605,205
ASSUMPTION,Courthouse,4809 HIGHWAY 1,,,NAPOLEONVILLE,LA,70390,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,605,205
AVOYELLES,AVOYELLES PARISH COURTHOUSE,312 N MAIN,,,MARKSVILLE,LA,71351,Suite E,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,606,206
AVOYELLES,AVOYELLES PARISH COURTHOUSE,312 N MAIN,,,MARKSVILLE,LA,71351,Suite E,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,606,206
BEAUREGARD,,204 S STEWART,,,DERIDDER,LA,70634,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,607,207
BEAUREGARD,,204 S STEWART,,,DERIDDER,LA,70634,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,607,207
BIENVILLE,BIENVILLE PARISH COURTHOUSE,100 COURTHOUSE DR,,,ARCADIA,LA,71001,"Ste. 1400, (200 GAP FARM RD)",,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,608,208
BIENVILLE,BIENVILLE PARISH COURTHOUSE,100 COURTHOUSE DR,,,ARCADIA,LA,71001,"Ste. 1400, (200 GAP FARM RD)",,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,608,208
BOSSIER,BOSSIER PARISH COURTHOUSE,204 BURT BLVD,,,BENTON,LA,71006,Second Floor,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,609,209
BOSSIER,BOSSIER PARISH COURTHOUSE,204 BURT BLVD,,,BENTON,LA,71006,Second Floor,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,609,209
CADDO,,525 MARSHALL,,,SHREVEPORT,LA,71101,Suite 103,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6010,2010
CADDO,,525 MARSHALL,,,SHREVEPORT,LA,71101,Suite 103,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6010,2010
CALCASIEU,PARISH COURTHOUSE,1000 RYAN ST,,,LAKE CHARLES,LA,70601,Room 7,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6011,2011
CALCASIEU,PARISH COURTHOUSE,1000 RYAN ST,,,LAKE CHARLES,LA,70601,Room 7,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6011,2011
CALDWELL,Courthouse,201 MAIN ST.,,,COLUMBIA,LA,71418,Suite 4,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6012,2011
CALDWELL,Courthouse,201 MAIN ST.,,,COLUMBIA,LA,71418,Suite 4,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6012,2011
CAMERON,CAMERON WEST ANNEX,148 SMITH CIRCLE,,,CAMERON,LA,70631,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6013,2013
CAMERON,CAMERON WEST ANNEX,148 SMITH CIRCLE,,,CAMERON,LA,70631,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6013,2013
CATAHOULA,,301 BUSHLEY ST,,,HARRISONBURG,LA,71340,Room 103,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6014,2014
CATAHOULA,,301 BUSHLEY ST,,,HARRISONBURG,LA,71340,Room 103,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6014,2014
CLAIBORNE,,507 W. MAIN ST,,,HOMER,LA,71040,Ste 1,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6015,2015
