name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_date,end_date,start_time,end_time,ev id,locality id
CLAIBORNE,,507 W. MAIN ST,,,HOMER,LA,71040,Ste 1,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6015,2015
CONCORDIA,NEW CRTHSE,4001 CARTER ST.,,,VIDALIA,LA,71373,Suite K,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6016,2016
CONCORDIA,,4001 CARTER ST.,,,VIDALIA,LA,71373,Suite K,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6016,2016
DE SOTO,,105 FRANKLIN ST,,,MANSFIELD,LA,71052,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6017,2017
DE SOTO,,105 FRANKLIN ST,,,MANSFIELD,LA,71052,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6017,2017
EAST BATON ROUGE,MOTOR VEHICLE BLDG,2250 MAIN ST,,,BAKER,LA,70714,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6018,2018
EAST BATON ROUGE,MOTOR VEHICLE BLDG,2250 MAIN ST,,,BAKER,LA,70714,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6018,2018
EAST BATON ROUGE,FIRE STATION BLDG,11010 COURSEY BLVD,,,BATON ROUGE,LA,70816,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6019,2018
EAST BATON ROUGE,FIRE STATION BLDG,11010 COURSEY BLVD,,,BATON ROUGE,LA,70816,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6019,2018
EAST BATON ROUGE,CITY HALL,222 ST.LOUIS ST,,,BATON ROUGE,LA,70802,#201,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6020,2018
EAST BATON ROUGE,CITY HALL,222 ST.LOUIS ST,,,BATON ROUGE,LA,70802,#201,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6020,2018
EAST CARROLL,NEW COURTHOUSE BLDG.,400 1ST ST.,,,LAKE PROVIDENCE,LA,71254,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6021,2018
EAST CARROLL,NEW COURTHOUSE BLDG.,400 1ST ST.,,,LAKE PROVIDENCE,LA,71254,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6021,2018
EAST FELICIANA,,11048 BANK ST.,,,CLINTON,LA,70722,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6022,2018
EAST FELICIANA,,11048 BANK ST.,,,CLINTON,LA,70722,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6022,2018
EVANGELINE,EVANGELINE PARISH COURTHOUSE,200 COURT ST,,,VILLE PLATTE,LA,70586,Ste 102,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6023,2018
EVANGELINE,EVANGELINE PARISH COURTHOUSE,200 COURT ST,,,VILLE PLATTE,LA,70586,Ste 102,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6023,2018
FRANKLIN,,6560 MAIN ST,,,WINNSBORO,LA,71295,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6024,2018
FRANKLIN,,6560 MAIN ST,,,WINNSBORO,LA,71295,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6024,2018
FRANKLIN,,6560 MAIN ST,,,WINNSBORO,LA,71295,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6024,2018
FRANKLIN,,6560 MAIN ST,,,WINNSBORO,LA,71295,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6024,2018
FRANKLIN,,6560 MAIN ST,,,WINNSBORO,LA,71295,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6024,2018
GRANT,Courthouse,200 MAIN ST,,,COLFAX,LA,71417,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6025,2018
GRANT,Courthouse,200 MAIN ST,,,COLFAX,LA,71417,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6025,2018
IBERIA,,300 S. IBERIA ST.,,,NEW IBERIA,LA,70560,Ste 110,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6026,2018
IBERIA,,300 S. IBERIA ST.,,,NEW IBERIA,LA,70560,Ste 110,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6026,2018
IBERVILLE,IBERVILLE PARISH COURTHOUSE,58050 MERIAM ST.,,,PLAQUEMINE,LA,70764,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6027,2018
IBERVILLE,IBERVILLE PARISH COURTHOUSE,58050 MERIAM ST.,,,PLAQUEMINE,LA,70764,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6027,2018
JACKSON,JACKSON PARISH COURTHOUSE,500 E. COURT ST.,,,JONESBORO,LA,71251,Room 102,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6028,2026
JACKSON,JACKSON PARISH COURTHOUSE,500 E. COURT ST.,,,JONESBORO,LA,71251,Room 102,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6028,2026
JEFFERSON,JOSEPH YENNI PARISH BUILDING,1221 ELMWOOD PARK BLVD.,,,HARAHAN,LA,70123,Rm 502,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6029,2027
JEFFERSON,JOSEPH YENNI PARISH BUILDING,1221 ELMWOOD PARK BLVD.,,,HARAHAN,LA,70123,Rm 502,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6029,2027
JEFFERSON,CHARLES ODOM BUILDING,5001 WEST BANK EXPRESSWAY,,,MARRERO,LA,70072,Suite C-2,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6030,2027
JEFFERSON,CHARLES ODOM BUILDING,5001 WEST BANK EXPRESSWAY,,,MARRERO,LA,70072,Suite C-2,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6030,2027
JEFFERSON DAVIS,,302 N CUTTING AVE,,,JENNINGS,LA,70546,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6031,2027
JEFFERSON DAVIS,,302 N CUTTING AVE,,,JENNINGS,LA,70546,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6031,2027
LAFAYETTE,,1010 LAFAYETTE ST.,,,LAFAYETTE,LA,70501,Suite 313,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6032,2027
LAFAYETTE,,1010 LAFAYETTE ST.,,,LAFAYETTE,LA,70501,Suite 313,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6032,2027
LAFOURCHE,SOUTH LAFOURCHE LIBRARY,16241 EAST MAIN STREET,,,GALLIANO,LA,70354,Suite B23,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6033,2027
LAFOURCHE,SOUTH LAFOURCHE LIBRARY,16241 EAST MAIN STREET,,,GALLIANO,LA,70354,Suite B23,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6033,2027
LAFOURCHE,LAFOURCHE GOVERNMENT COMPLEX,307 WEST 4TH STREET,,,THIBODAUX,LA,70301,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6034,2030
LAFOURCHE,LAFOURCHE GOVERNMENT COMPLEX,307 WEST 4TH STREET,,,THIBODAUX,LA,70301,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6034,2030
LASALLE,LASALLE PARISH COURTHOUSE,1009 COURTHOUSE ST,,,JENA,LA,71342,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6035,2031
LASALLE,LASALLE PARISH COURTHOUSE,1009 COURTHOUSE ST,,,JENA,LA,71342,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6035,2031
LINCOLN,LINCOLN PARISH COURTHOUSE,100 W. TEXAS AVE.,,,RUSTON,LA,71270,Rm 10,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6036,2032
LINCOLN,LINCOLN PARISH COURTHOUSE,100 W. TEXAS AVE.,,,RUSTON,LA,71270,Rm 10,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6036,2032
LIVINGSTON,,29938 S MAGNOLIA ST,,,LIVINGSTON,LA,70754,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6037,2033
LIVINGSTON,,29938 S MAGNOLIA ST,,,LIVINGSTON,LA,70754,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6037,2033
MADISON,,100 N CEDAR ST.,,,TALLULAH,LA,71282,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6038,2033
MADISON,,100 N CEDAR ST.,,,TALLULAH,LA,71282,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6038,2033
MOREHOUSE,,129 N. FRANKLIN,,,BASTROP,LA,71220,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6039,2033
MOREHOUSE,,129 N. FRANKLIN,,,BASTROP,LA,71220,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6039,2033
NATCHITOCHES,NATCHITOCHES PARISH COURTHOUSE,200 CHURCH ST.,,,NATCHITOCHES,LA,71457,Office 103,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6040,2033
NATCHITOCHES,NATCHITOCHES PARISH COURTHOUSE,200 CHURCH ST.,,,NATCHITOCHES,LA,71457,Office 103,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6040,2033
ORLEANS,,1300 PERDIDO ST.,,,NEW ORLEANS,LA,70112,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6041,2037
ORLEANS,,1300 PERDIDO ST.,,,NEW ORLEANS,LA,70112,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6041,2037
OUACHITA,REGISTRAR OF VOTERS,1650 DESIARD ST,,,MONROE,LA,71201,Suite 125,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6042,2038
OUACHITA,REGISTRAR OF VOTERS,1650 DESIARD ST,,,MONROE,LA,71201,Suite 125,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6042,2038
PLAQUEMINES,PLAQUEMINES PARISH GOVT. BLDG.,28028 HWY 23,,,PORT SULPHUR,LA,70083,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6043,2039
PLAQUEMINES,PLAQUEMINES PARISH GOVT. BLDG.,28028 HWY 23,,,PORT SULPHUR,LA,70083,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6043,2039
POINTE COUPEE,,211 EAST MAIN STREET,,,NEW ROADS,LA,70760,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6044,2039
POINTE COUPEE,,211 EAST MAIN STREET,,,NEW ROADS,LA,70760,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6044,2039
RAPIDES,RAPIDES PARISH COURTHOUSE,701 MURRAY ST.,,,ALEXANDRIA,LA,71301,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6045,2039
RAPIDES,RAPIDES PARISH COURTHOUSE,701 MURRAY ST.,,,ALEXANDRIA,LA,71301,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6045,2039
RICHLAND,,708 JULIA ST.,,,RAYVILLE,LA,71269,#B-102,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6047,2039
RICHLAND,,708 JULIA ST.,,,RAYVILLE,LA,71269,#B-102,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6047,2039
SABINE,,400 CAPITOL ST.,,,MANY,LA,71449,#107,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6048,2039
SABINE,,400 CAPITOL ST.,,,MANY,LA,71449,#107,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6048,2039
ST. BERNARD,ST BERNARD PARISH GOVERNMENT,8201 W. JUDGE PEREZ,,,CHALMETTE,LA,70043,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6049,2045
ST. BERNARD,ST BERNARD PARISH GOVERNMENT,8201 W. JUDGE PEREZ,,,CHALMETTE,LA,70043,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6049,2045
ST. CHARLES,,14564 RIVER ROAD,,,NEW SARPY,LA,70078,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6050,2046
ST. CHARLES,,14564 RIVER ROAD,,,NEW SARPY,LA,70078,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6050,2046
ST. CHARLES,,15045 RIVER RD,,,HAHNVILLE,LA,70057,#189,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6051,2046
ST. CHARLES,,15045 RIVER RD,,,HAHNVILLE,LA,70057,#189,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6051,2046
ST. HELENA,NFC BUILDING - 1ST FLOOR,48 KENDRICK STREET,,,GREENSBURG,LA,70441,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6052,2047
ST. HELENA,NFC BUILDING - 1ST FLOOR,48 KENDRICK STREET,,,GREENSBURG,LA,70441,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6052,2047
ST. JAMES,ST JAMES PARISH COURTHOUSE,5800 LA 44,,,CONVENT,LA,70723,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6053,2048
ST. JAMES,ST JAMES PARISH COURTHOUSE,5800 LA 44,,,CONVENT,LA,70723,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6053,2048
ST. JAMES,ST JAMES PARISH COURTHOUS ANNEX,2631 LA 20 WEST,,,VACHERIE,LA,70090,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6054,2048
ST. JAMES,ST JAMES PARISH COURTHOUS ANNEX,2631 LA 20 WEST,,,VACHERIE,LA,70090,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6054,2048
ST. JOHN THE BAPTIST,,1801 W. AIRLINE HWY.,,,LAPLACE,LA,70068,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6055,2049
ST. JOHN THE BAPTIST,,1801 W. AIRLINE HWY.,,,LAPLACE,LA,70068,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6055,2049
ST. JOHN THE BAPTIST,,2393 HWY. 18,,,EDGARD,LA,70049,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6056,2049
ST. JOHN THE BAPTIST,,2393 HWY. 18,,,EDGARD,LA,70049,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6056,2049
ST. LANDRY,COURTHOUSE,118 S. COURT ST.,,,OPELOUSAS,LA,70570,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6057,2050
ST. LANDRY,COURTHOUSE,118 S. COURT ST.,,,OPELOUSAS,LA,70570,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6057,2050
ST. MARTINVILLE,ST. MARTIN PARISH COURTHOUSE ANNEX,415 SAINT MARTIN STREET,,,ST MARTINVILLE,LA,70582,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6058,2051
ST. MARTINVILLE,ST. MARTIN PARISH COURTHOUSE ANNEX,415 SAINT MARTIN STREET,,,ST MARTINVILLE,LA,70582,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6058,2051
ST. MARY,ST MARY PARISH COURTHOUSE,500 MAIN ST.,,,FRANKLIN,LA,70538,Ste 301,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6060,2052
ST. MARY,ST MARY PARISH COURTHOUSE,500 MAIN ST.,,,FRANKLIN,LA,70538,Ste 301,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6060,2052
ST. TAMMANY,THE TOWERS BUILDING,520 OLD SPANISH TRAIL,,,SLIDELL,LA,70458,Suite 4C,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6061,2053
ST. TAMMANY,THE TOWERS BUILDING,520 OLD SPANISH TRAIL,,,SLIDELL,LA,70458,Suite 4C,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6061,2053
ST. TAMMANY,ST. TAMMANY JUSTICE CENTER PARKING GARAGE,601 N JEFFERSON AVE,,,COVINGTON,LA,70433,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6062,2053
ST. TAMMANY,ST. TAMMANY JUSTICE CENTER PARKING GARAGE,601 N JEFFERSON AVE,,,COVINGTON,LA,70433,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6062,2053
TANGIPAHOA,TANGIPAHOA PARISH COURTHOUSE,110 N. BAY ST.,,,AMITE,LA,70422,#103,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6063,2053
TANGIPAHOA,TANGIPAHOA PARISH COURTHOUSE,110 N. BAY ST.,,,AMITE,LA,70422,#103,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6063,2053
TANGIPAHOA,TANGIPAHOA SHERIFF'S OFFICE SUBSTATION,15475 CLUB DELUXE RD,,,HAMMOND,LA,70403,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6064,2053
TANGIPAHOA,TANGIPAHOA SHERIFF'S OFFICE SUBSTATION,15475 CLUB DELUXE RD,,,HAMMOND,LA,70403,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6064,2053
TENSAS,,203 HANCOCK ST.,,,ST JOSEPH,LA,71366,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6065,2053
TENSAS,,203 HANCOCK ST.,,,ST JOSEPH,LA,71366,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6065,2053
TERREBONNE,,8026 MAIN STREET,,,HOUMA,LA,70360,Suite 101,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6066,2053
TERREBONNE,,8026 MAIN STREET,,,HOUMA,LA,70360,Suite 101,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6066,2053
UNION,,303-C E. WATER ST,,,FARMERVILLE,LA,71241,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6067,2053
UNION,,303-C E. WATER ST,,,FARMERVILLE,LA,71241,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6067,2053
VERMILION,VERMILION PARISH COURTHOUSE,100 N. STATE ST,,,ABBEVILLE,LA,70510,#120,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6068,2053
VERMILION,VERMILION PARISH COURTHOUSE,100 N. STATE ST,,,ABBEVILLE,LA,70510,#120,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6068,2053
VERNON,,301 E. COURTHOUSE ST.,,,LEESVILLE,LA,71446,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6069,2053
VERNON,,301 E. COURTHOUSE ST.,,,LEESVILLE,LA,71446,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6069,2053
WASHINGTON,WASHINGTON PARSIH COURTHOUSE,900 WASHINGTON ST.,,,FRANKLINTON,LA,70438,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6070,2053
WASHINGTON,WASHINGTON PARSIH COURTHOUSE,900 WASHINGTON ST.,,,FRANKLINTON,LA,70438,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6070,2053
WEBSTER,WEBSTER PARISH COURTHOUSE,410 MAIN STREET,,,MINDEN,LA,71055,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6071,2053
WEBSTER,WEBSTER PARISH COURTHOUSE,410 MAIN STREET,,,MINDEN,LA,71055,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6071,2053
WEST BATON ROUGE,COURTHOUSE ANNEX BUILDING,883 7TH STREET,,,PORT ALLEN,LA,70767,Suite A,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6072,2053
WEST BATON ROUGE,COURTHOUSE ANNEX BUILDING,883 7TH STREET,,,PORT ALLEN,LA,70767,Suite A,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6072,2053
WEST CARROLL,WEST CARROLL PARISH COURTHOUSE,305 E. MAIN ST.,,,OAK GROVE,LA,71263,Rm 108,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6073,2053
WEST CARROLL,WEST CARROLL PARISH COURTHOUSE,305 E. MAIN ST.,,,OAK GROVE,LA,71263,Rm 108,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6073,2053
WEST FELICIANA,,5932 COMMERCE ST,,,ST FRANCISVILLE,LA,70775,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6074,2053
WEST FELICIANA,,5932 COMMERCE ST,,,ST FRANCISVILLE,LA,70775,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6074,2053
WINN,,119 W. MAIN ST.,,,WINNFIELD,LA,71483,#105,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6075,2053
WINN,,119 W. MAIN ST.,,,WINNFIELD,LA,71483,#105,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6075,2053
