name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Calhoun County Courthouse,"20859 Central Avenue East, Blountstown, FL 32424",Room 117 1st Floor,08:00 AM-05:30 PM,,ho60903788,false,true,,,,poll8400817
Central Ridge Library,"425 W Roosevelt Blvd, Beverly Hills, FL 34465",Corner of Forest Ridge Blvd and Roosevelt Blvd,07:00 AM-07:00 PM,,ho77240101,false,true,,,,poll63267302
West Citrus Government Center,"1540 N Meadowcrest Blvd, Crystal River, FL 34429",Off Hwy 44 and Meadowcrest,07:00 AM-07:00 PM,,ho80848781,false,true,,,,poll37204369
Homosassa Public Library,"4100 S Grandmarch Ave, Homosassa, FL 34446",Grover Cleveland Blvd to Grandmarch Ave,07:00 AM-07:00 PM,,ho13456083,false,true,,,,poll87573131
Inverness Government Center/City Hall,"212 W Main St, Inverness, FL 34450",Downtown Inverness next to the Square,07:00 AM-07:00 PM,,ho72460264,false,true,,,,poll92457318
Clay County Elections Office,"500 N. Orange Ave, Green Cove Springs, FL 32043",Training Room 2,07:00 AM-07:00 PM,,ho3166674,false,true,,,,poll10576690
Eagle Landing at Oakleaf Plantation,"3973 Eagle Landing Pkwy, Orange Park, FL 32065",,07:00 AM-07:00 PM,,ho16688723,false,true,,,,poll82976472
Fleming Island Library,"1895 Town Center Blvd, Fleming Island, FL 32003",,07:00 AM-07:00 PM,,ho32444623,false,true,,,,poll3779443
Keystone Heights Tax Collectors Office,"7380 State Road 100, Keystone Heights, FL 32656",Suite 10,07:00 AM-07:00 PM,,ho91674851,false,true,,,,poll64236275
Middleburg Civic Center,"2102 Palmetto St, Middleburg, FL 32068",,07:00 AM-07:00 PM,,ho72876480,false,true,,,,poll81882194
Orange Park Library,"2054 Plainfield Ave, Orange Park, FL 32073",,07:00 AM-07:00 PM,,ho15976087,false,true,,,,poll57396474
Collier County Government Complex,"3311 Tii Trl E, Naples, FL 34112",,09:00 AM-06:00 PM,,ho61134856,false,true,,,,poll46831744
Everglades City Hall,"102 Copeland Ave N, Everglades City, FL 34139",,09:00 AM-06:00 PM,,ho23502205,false,true,,,,poll41358947
Golden Gate Community Center,"4701 Golden Gate Pkwy, Naples, FL 34116",,09:00 AM-06:00 PM,,ho54131915,false,true,,,,poll68056161
Immokalee Community Park,"321 N First St, Immokalee, FL 34142",,09:00 AM-06:00 PM,,ho61634736,false,true,,,,poll14973396
Library Headquarters,"2385 Orange Blossom Dr, Naples, FL 34109",,09:00 AM-06:00 PM,,ho91667539,false,true,,,,poll82455425
Marco Island Library,"210 S Heathwood Dr, Marco Island, FL 34145",,09:00 AM-06:00 PM,,ho74685966,false,true,,,,poll83382275
Norris Center,"755 8th Ave S, Naples, FL 34102",,09:00 AM-06:00 PM,,ho56390721,false,true,,,,poll35394980
North Collier Regional Park,"15000 Livingston Rd, Naples, FL 34109",,09:00 AM-06:00 PM,,ho32612788,false,true,,,,poll77302826
Supervisor of Elections Office,"3750 Enterprise Ave, Naples, FL 34104",,09:00 AM-06:00 PM,,ho43175778,false,true,,,,poll45375935
In front of ball fields by the FW high school,"17579 SW SR 47, Fort White, FL 32038",Right off of 47,08:30 AM-04:30 PM,,ho3297274,false,true,,,,poll61485285
Intersection of 90 and Baya,"971 W. Duval St., Lake City, FL 32055",Old hospital building,07:00 AM-07:00 PM,,ho83122409,false,true,,,,poll26366058
County Administration Building,"201 E. Oak Street, Arcadia, FL 34266",Room 104,07:00 AM-03:00 PM,,ho81222739,false,true,,,,poll85362379
Supervisor of Elections Office,"229 NE 351 HWY, Cross City, FL 32628",Suite A,08:00 AM-06:00 PM,,ho30218364,false,true,,,,poll5971199
Bellview/Saufley,"916 W Michigan Ave, Pensacola, FL 32505",,07:00 AM-07:00 PM,,ho34059105,false,true,,,,poll40056592
Escbia County Extension Services,"3740 Stefani Road, Cantonment, FL 32533",,07:00 AM-07:00 PM,,ho31093681,false,true,,,,poll18678015
Genealogy Branch Library,"5740 N. 9th Avenue, Pensacola, FL 32504",,07:00 AM-07:00 PM,,ho34018119,false,true,,,,poll24394588
Main Library,"239 N. Spring Street, Pensacola, FL 32502",,07:00 AM-07:00 PM,,ho95338720,false,true,,,,poll77839187
Supervisor of Elections ,"213 Palafox Place, Pensacola, FL 32502",Second Floor,07:00 AM-07:00 PM,,ho26285461,false,true,,,,poll5902193
Molino Community Center,"6450 Highway 95A North, Molino, FL 32577",,07:00 AM-07:00 PM,,ho72167130,false,true,,,,poll81691221
Southwest Branch Library,"12248 Gulf Beach Highway, Pensacola, FL 32507",,07:00 AM-07:00 PM,,ho84518649,false,true,,,,poll18906407
Flagler County Public Library,"2500 Palm Coast Parkway NW, Palm Coast, FL 32137",,10:00 AM-06:00 PM,,ho70511329,false,true,,,,poll14889410
Palm Coast Community Center,"305 Palm Coast Parkway NE, Palm Coast, FL 32137",,10:00 AM-06:00 PM,,ho53640135,false,true,,,,poll7722423
Flagler County Goverment Services Building,"1769 E Moody Boulevard, Bunnell, FL 32110",Building 2 STE 101,10:00 AM-06:00 PM,,ho19566857,false,true,,,,poll21885514
Carrabelle Annex,"912 NW Ave A, Carrabelle, FL 32322",Carrabelle Annex Corner of Hwy 98 & Avenue A,08:00 AM-06:00 PM,,ho28607864,false,true,,,,poll79930281
Apalachicola,"47 Avenue F, Apalachicola, FL 32320",Elections Main Office 1 Block Off Hwy 98,08:00 AM-06:00 PM,,ho51725328,false,true,,,,poll19522366
Chattahoochee Library,"300 Maple Street, Chattahoochee, FL 32324",,08:00 AM-06:00 PM,,ho32243416,false,true,,,,poll78233753
Havana Library,"203 E. 5th Ave., Havana, FL 32333",,08:00 AM-06:00 PM,,ho5955495,false,true,,,,poll68642300
Midway City Hall,"60 MLK Blvd., Midway, FL 32343",,08:00 AM-06:00 PM,,ho50557937,false,true,,,,poll43474277
Supervisor of Elections Office,"16 S. Madison Street, Quincy, FL 32351",,08:00 AM-06:00 PM,,ho99818159,false,true,,,,poll25444708
Glades County Courthouse,"500 Ave J, Moore Haven, FL 33471",27 and Ave J,08:00 AM-04:00 PM,,ho68248841,false,true,,,,poll94669032
SOE Office,"401 Long Ave, Port St. Joe, FL 32456",,08:00 AM-05:00 PM,,ho25779463,false,true,,,,poll34485295
Wewa Branch Library,"314 N 2nd St, Wewahitchka, FL 32465",,07:00 AM-04:00 PM,,ho71295785,false,true,,,,poll58307997
Courthouse Anexx,"1153 US HWY 41 NW, Jasper, FL 32052",,08:30 AM-05:00 PM,,ho80008261,false,true,,,,poll91707739
Supervisor of Elections,"311 N. 6th Ave., Wauchula, FL 33873",,08:30 AM-05:00 PM,,ho7902309,false,true,,,,poll13627416
Hendry County Government Complex,"1100 S. Olympia St., Clewiston, FL 33440",In the se building as the Driver`s License Office,07:00 AM-05:00 PM,,ho74541436,false,true,,,,poll17200307
Courthouse Complex,"25 E. Hickpochee Ave., LaBelle, FL 33935",1st Floor corner of Hickpochee and Bridge St,07:00 AM-05:00 PM,,ho72262779,false,true,,,,poll1717524
