CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
WAS,ocd-division/country:us/state:me/place:crawford,CRAWFORD,1-1,Crawford Town Hall ,3190 Airline Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:cross_lake_twp,CROSS LAKE TWP (with New Canada),1-1,New Canada Community Center ,1809 Caribou Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:crystal,CRYSTAL ,1-1,Crystal Town Office ,272 Crystal Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:cumberland,CUMBERLAND,1-1,Cumberland Town Hall ,290 Tuttle Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:cushing,CUSHING,1-1,Cushing Community Center ,39 Cross Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:cutler,CUTLER,1-1,Cutler Town Office-Library ,2655 Cutler Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:cyr_plt,CYR PLT,1-1,Governor Brann School House ,"218 Caribou Road, Rt #1",10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:dallas_plt,DALLAS PLT,1-1,Dallas Plantation Townhouse,436 Dallas Hill Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:damariscotta,DAMARISCOTTA,1-1,Damariscotta Town Hall ,21 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:danforth,DANFORTH (and Brookton Twp & Forest Twp),1-1,Danforth Town Hall ,52 Depot Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:dayton,DAYTON,1-1,Dayton Town Office ,33 Clarks Mills Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:deblois,DEBLOIS,1-1,Deblois Town Hall,8 Lane Road,09:30:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:dedham,DEDHAM,1-1,Dedham Fire Station ,8 Bald Mountain Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:deer_isle,DEER ISLE,1-1,Deer Isle Municipal Building,70 Church Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:denmark,DENMARK,1-1,Denmark Municipal Building,62 East Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:dennistown_plt,DENNISTOWN PLT,1-1,Moose River Town Office ,705 Main Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:dennysville,DENNYSVILLE (and Edmunds Twp),1-1,Town Office/Community Center,2 Main Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:detroit,DETROIT,1-1,DRCS Town Hall ,35 South Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:dexter,DEXTER,1-1,Dexter Town Hall ,10 Hall Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:dixfield,DIXFIELD ,1-1,American Legion,8 River Lane ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:dixmont,DIXMONT,1-1,Dixmont Town Office ,758 Western Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:dover-foxcroft,DOVER-FOXCROFT,1-1,Dover-Foxcroft Municipal Gymnasium,48 Morton Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:dresden,DRESDEN ,1-1,Pownalborough Hall ,314 Patterson Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:drew_plt,DREW PLT ,1-1,Drew Plt. Fire Building/ Town Hall ,65 Center Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:durham,DURHAM,1-1,Durham Community School ,654 Hallowell Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:dyer_brook,DYER BROOK,1-1,Dyer Brook Town Office ,864 Dyer Brook Road ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:eagle_lake,EAGLE LAKE,1-1,Eagle Lake Municipal Building ,36 Devoe Brook Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:east_machias,EAST MACHIAS,1-1,East Machias Municipal Building ,571 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:east_millinocket,EAST MILLINOCKET ,1-1,East Millinocket Municipal Building ,53 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:eastbrook,EASTBROOK,1-1,Eastbrook Community Center,959 Eastbrook Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:easton,EASTON,1-1,Easton Town Office ,3 Station Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:eastport,EASTPORT,1-1,Shead High School ,89 High Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:eddington,EDDINGTON,1-1,Eddington Municipal Building-Meeting Room,906 Main Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:edgecomb,EDGECOMB,1-1,Edgecomb Town Hall ,16 Town Hall Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:edinburg,EDINBURG & part of Argyle Twp,1-1,Edinburg Town Building,595 Edinburg Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:eliot,ELIOT,1-1,Marshwood Middle School ,626 Harold L. Dow Highway ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:ellsworth,ELLSWORTH,1-1,Ellsworth City Hall Auditorium ,1 City Hall Plaza ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:ellsworth,ELLSWORTH,2-1,Community of Christ Church,283 State Street,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:ellsworth,ELLSWORTH,3-1,Maine Coast Baptist Church Gymnasium ,867 Bangor Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:ellsworth,ELLSWORTH,4-1,Ellsworth City Hall - Council Chambers ,1 City Hall Plaza ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:embden,EMBDEN,1-1,Embden Town Office ,809 Embden Pond Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:enfield,ENFIELD,1-1,Cole Memorial Building,789 Hammett Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:etna,ETNA ,1-1,Etna Community Hall ,17 Shadow Lane ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:eustis,EUSTIS,1-1,Eustis Town Office ,88 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:exeter,EXETER,1-1,Exeter Town Office ,1221 Stetson Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:fairfield,FAIRFIELD,1-1,Fairfield Community Center ,61 Water Street ,07:30:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:falmouth,FALMOUTH ,1-1,Falmouth High School ,74 Woodville Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:farmingdale,FARMINGDALE ,1-1,Hall-Dale Middle School Gymnasium,111 Maple Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:farmington,FARMINGTON,1-1,Farmington Community Center ,127 Middle Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:fayette,FAYETTE,1-1,Starling Grange Hall ,2769 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:fort_fairfield,FORT FAIRFIELD,1-1,Fort Fairfield Community Center ,18 Community Center Drive ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:fort_kent,FORT KENT,1-1,Fort Kent Town Office ,416 West Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:fort_kent,FORT KENT,1-2,Fort Kent Town Office ,416 West Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:fort_kent,FORT KENT,1-3,Fort Kent Town Office ,416 West Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:fort_kent,FORT KENT,1-4,Fort Kent Town Office ,416 West Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:fort_kent,FORT KENT,1-5,Fort Kent Town Office ,416 West Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:frankfort,FRANKFORT,1-1,Frankfort Congregational Church,42 Main Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:franklin,FRANKLIN,1-1,Franklin Community Center-Meeting Room ,34 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:freedom,FREEDOM ,1-1,Freedom Town Office-Election Hall,71 Pleasant Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:freeport,FREEPORT,1-1,Freeport High School Gymnasium ,Holbrook Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:frenchboro,FRENCHBORO,1-1,Frenchboro Community Building,1 Executive Drive,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:frenchville,FRENCHVILLE,1-1,Frenchville Community Center ,343-A US Route 1 ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:friendship,FRIENDSHIP,1-1,Hahn Community Center,31 Main Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:frye_island,FRYE ISLAND,1-1,Ferry Office,"7 Ferry Landing Road, Raymond",10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:fryeburg,FRYEBURG,1-1,American Legion Building,Bradley Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:gardiner,GARDINER,1-1,Boys & Girls Club ,14 Pray Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:garfield_plt,GARFIELD PLT,1-1,Garfield Town Garage,10 Cross Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:garland,GARLAND,1-1,Garland Town Office ,108 Corinth Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:georgetown,GEORGETOWN ,1-1,Georgetown Central School ,52 Bay Point Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:gilead,GILEAD,1-1,Gilead Town Hall ,10 Depot Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:glenburn,GLENBURN,1-1,Glenburn Municipal Building ,144 Lakeview Road ,07:30:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:gorham,GORHAM,1-1,Gorham Middle School ,106 Weeks Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:gorham,GORHAM,1-2,Little Falls Activity Ctr,40 Acorn St,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:gorham,GORHAM,2-1,Gorham Municipal Center - Shaw Gymnasium,75 South Street,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:gouldsboro,GOULDSBORO,1-1,Gouldsboro Community Center Gymnasium,679 Pond Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:grand_isle,GRAND ISLE ,1-1,Grand Isle Town Office- Meeting Room,366 Main Street ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:grand_lake_stream_plt,GRAND LAKE STREAM PLT ,1-1,James Brite Schoolhouse ,15 Water Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:gray,GRAY,1-1,Newbegin Gym,22 Main Street ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:great_pond,GREAT POND,1-1,Great Pond Town Hall ,1235 Great Pond Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:greenbush,GREENBUSH,1-1,Greenbush Town Hall ,132 Military Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:greene,GREENE ,1-1,Greene Town Office,220 Main Street,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:greenville,GREENVILLE,1-1,Greenville Town Hall ,7 Minden Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:greenwood,GREENWOOD,1-1,American Legion Hall ,595 Gore Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:guilford,GUILFORD (and Kingsbury Plt),1-1,Guilford Fire Station ,4 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:hallowell,HALLOWELL,1-1,Hall Dale Elementary School ,26 Garden Lane ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:hamlin,HAMLIN,1-1,Roosevelt School ,588 Hamlin Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:hammond,HAMMOND,1-1,Hammond School House,13 Burnt Brow Road,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:hampden,HAMPDEN,1-1,Municipal Building Community Room ,106 Western Avenue ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:hancock,HANCOCK,1-1,Hancock Town Hall ,18 Point Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:hanover,HANOVER,1-1,Hanover Town Office ,21 Ferry Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:harmony,HARMONY,1-1,Harmony Elementary School,18 Main Street,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:harpswell,HARPSWELL,1-1,Elijah Kellogg Church,917 Harpswell Neck Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:harpswell,HARPSWELL,2-1,Cundy's Harbor Community Building ,837 Cundy's Harbor Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:harpswell,HARPSWELL,3-1,Old Orr's Island School House ,1594 Harpswell Islands Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:harrington,HARRINGTON,1-1,Harrington Town Office ,114 East Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
CUM,ocd-division/country:us/state:me/place:harrison,HARRISON,1-1,Harrison Town Office Meeting Room,20 Front Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:hartford,HARTFORD,1-1,Hartford Town Hall ,1190 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:hartland,HARTLAND,1-1,Hartland Town Hall ,21 Academy Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:haynesville,HAYNESVILLE,1-1,Haynesville Town Office ,16 Danforth Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:hebron,HEBRON,1-1,Hebron Town Office ,351 Paris Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:hermon,HERMON,1-1,Hermon Elementary School Gymnasium,235 Billings Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:hersey,HERSEY,1-1,Patten Fire Station,27 Dearborn Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:highland_plt,HIGHLAND PLT ,1-1,Town House ,Long Falls Dam Road ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:hiram,HIRAM,1-1,Hiram Town Office ,25 Allard Circle ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:hodgdon,HODGDON,1-1,Hodgdon Town Office ,179 Hodgdon Mills Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:holden,HOLDEN,1-1,Holden Municipal Building ,570 Main Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:hollis,HOLLIS,1-1,Hollis Fire Station #2 ,405 Plains Road ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:hope,HOPE,1-1,Hope Town Office ,441 Camden Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:houlton,HOULTON,1-1,Gentle Memorial Building ,128 Main Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:howland,HOWLAND,1-1,Howland Town Office,8 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:hudson,HUDSON ,1-1,Hudson Town Hall ,2334 Hudson Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:indian_township,INDIAN TOWNSHIP ,1-1,Indian Twp Tribal Office,8 Kennabasis Road,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:industry,INDUSTRY,1-1,Industry Town Hall ,1033 Industry Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:island_falls,ISLAND FALLS,1-1,Island Falls Municipal Office ,68 Houlton Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KNO,ocd-division/country:us/state:me/place:isle_au_haut,ISLE AU HAUT,1-1,Revere Memorial Hall,1 Main Street,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:islesboro,ISLESBORO,1-1,Islesboro Public Safety Meeting Room,150 Main Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:jackman,JACKMAN,1-1,Jackman Municipal Conference Room,369 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:jackman,JACKMAN,1-2,Jackman Municipal Conference Room,369 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:jackson,JACKSON,1-1,Jackson Town Office ,730 Moosehead Trail ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:jay,JAY,1-1,Jay Community Building ,13 Community Drive,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:jefferson,JEFFERSON,1-1,Jefferson Fire Station ,204 Waldoboro Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:jonesboro,JONESBORO,1-1,Keith H. Schoppee Municipal Building,23 Station Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:jonesport,JONESPORT,1-1,Jonesport Town Office,70 Snare Creek Lane,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:kenduskeag,KENDUSKEAG,1-1,Kenduskeag Town Office ,4010 Broadway ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:kennebunk,KENNEBUNK,1-1,Edward C. Winston Auditorium ,1 Summer Street ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:kennebunk,KENNEBUNK,1-2,Edward C. Winston Auditorium ,1 Summer Street ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:kennebunkport,KENNEBUNKPORT,1-1,Village Fire Station ,32 North Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
FRA,ocd-division/country:us/state:me/place:kingfield,KINGFIELD,1-1,Webster Hall ,38 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:kittery,KITTERY,1-1,Kittery Community Center,120 Rogers Road,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:knox,KNOX,1-1,Knox Town Office ,10 Abbott Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:lagrange,LAGRANGE ,1-1,Lagrange Town Office ,5791 Bennoch Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:lake_view_plt,LAKE VIEW PLT,1-1,Lake View Town Office,27 Church Street,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:lakeville,LAKEVILLE,1-1,Lakeville Town Office (McKinley School House),828 Bottle Lake Road ,09:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:lamoine,LAMOINE,1-1,Lamoine Town Office ,606 Douglas Highway ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:lebanon,LEBANON,1-1,Lebanon Elementary School ,65 Upper Guinea Road ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:lee,LEE,1-1,Eula Ham Municipal Building ,29 Winn Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:leeds,LEEDS,1-1,Leeds Town Office ,8 Community Drive ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PEN,ocd-division/country:us/state:me/place:levant,LEVANT,1-1,Levant Town Office,691 Townhouse Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lewiston,LEWISTON ,1-1,Lewiston Memorial Armory,65 Central Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lewiston,LEWISTON ,2-1,Montello School,407 East Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lewiston,LEWISTON ,3-1,Lewiston Memorial Armory,65 Central Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lewiston,LEWISTON ,4-1,Longley Elementary School,145 Birch Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lewiston,LEWISTON ,5-1,Longley Elementary School,145 Birch Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lewiston,LEWISTON ,6-1,The Green Ladle (at High School),156 East Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
AND,ocd-division/country:us/state:me/place:lewiston,LEWISTON ,7-1,Longley Elementary School,145 Birch Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:liberty,LIBERTY ,1-1,Liberty Town Office-Overlock Room ,7 Water Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:limerick,LIMERICK,1-1,Limerick Municipal Building ,55 Washington Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
