CTY,Ocd-id,Municipality,W/P,Voting Place,Voting Address,start_time,end_time,start_date,end_date
HAN,ocd-division/country:us/state:me/place:bar_harbor,BAR HARBOR,1-1,Municipal Building Auditorium ,93 Cottage Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:baring_plt,BARING PLT,1-1,Baring Baptist Church ,47 Front Street ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bath,BATH,1-1,Bath Middle School ,6 Old Brunswick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bath,BATH,2-1,Bath Middle School ,6 Old Brunswick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bath,BATH,3-1,Bath Middle School ,6 Old Brunswick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bath,BATH,4-1,Bath Middle School ,6 Old Brunswick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bath,BATH,5-1,Bath Middle School ,6 Old Brunswick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bath,BATH,6-1,Bath Middle School ,6 Old Brunswick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bath,BATH,7-1,Bath Middle School ,6 Old Brunswick Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:beals,BEALS ,1-1,Beals Town Office ,11 Big Pond Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
PIS,ocd-division/country:us/state:me/place:beaver_cove,BEAVER COVE,1-1,Beaver Cove Town Office,795 Lily Bay Road,08:30:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAS,ocd-division/country:us/state:me/place:beddington,BEDDINGTON,1-1,Beddington Community Building ,1978 State Highway 193 ,10:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:belfast,BELFAST,1-1,Belfast Boathouse ,34 Commercial Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:belfast,BELFAST,2-1,Belfast Boathouse ,34 Commercial Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:belfast,BELFAST,3-1,Belfast Boathouse ,34 Commercial Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:belfast,BELFAST,4-1,Belfast Boathouse ,34 Commercial Street ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:belfast,BELFAST,5-1,United Methodist Church ,23 Mill Lane ,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:belgrade,BELGRADE,1-1,Town Office,990 Augusta Road,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
WAL,ocd-division/country:us/state:me/place:belmont,BELMONT,1-1,Belmont Community Building ,613 Back Belmont Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
KEN,ocd-division/country:us/state:me/place:benton,BENTON,1-1,Benton Town Office ,1279 Clinton Avenue ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:berwick,BERWICK,1-1,Berwick Town Hall ,11 Sullivan Square ,06:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
OXF,ocd-division/country:us/state:me/place:bethel,BETHEL,1-1,Crescent Park School Gymnasium,19 Crescent Lane ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:biddeford,BIDDEFORD,1-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:biddeford,BIDDEFORD,2-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:biddeford,BIDDEFORD,3-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:biddeford,BIDDEFORD,4-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:biddeford,BIDDEFORD,5-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:biddeford,BIDDEFORD,6-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
YOR,ocd-division/country:us/state:me/place:biddeford,BIDDEFORD,7-1,Tiger Gym Biddeford High School,10-20 Maplewood Avenue,07:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SOM,ocd-division/country:us/state:me/place:bingham,BINGHAM,1-1,Quimby Middle School Gymnasium ,263 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
ARO,ocd-division/country:us/state:me/place:blaine,BLAINE,1-1,Blaine Town Office ,52 Military Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
HAN,ocd-division/country:us/state:me/place:blue_hill,BLUE HILL,1-1,Blue Hill Town Hall ,18 Union Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:boothbay,BOOTHBAY ,1-1,Boothbay Town Office ,1011 Wiscasset Road ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
LIN,ocd-division/country:us/state:me/place:boothbay_harbor,BOOTHBAY HARBOR,1-1,Boothbay Harbor Municipal Building,11 Howard Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bowdoin,BOWDOIN ,1-1,Bowdoin Central School ,1460 Main Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
SAG,ocd-division/country:us/state:me/place:bowdoinham,BOWDOINHAM,1-1,Bowdoinham Town Hall ,13 School Street ,08:00:00 - 05:00,20:00:00 - 05:00,11/8/16,11/8/16
