office,name,adr_1,adr_2,dirs,city,state,zip,start_time,end_time,start_date,end_date,appt,ocd-id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
CHALKYITSIK CITY,CHALKYITSIK VILLAGE COUNCIL, 102 Bell St,,,CHALKYITSIK,AK,99788,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,1,"102 Bell St, Chalkyitsik, AK 99788",,08:00 AM - 05:00 PM,,ho45449720,false,true,,,,poll45449720
CHALKYITSIK CITY,CHALKYITSIK VILLAGE COUNCIL, 102 Bell St,,,CHALKYITSIK,AK,99788,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,2,"102 Bell St, Chalkyitsik, AK 99788",,08:00 AM - 05:00 PM,,ho45449720,false,true,,,,poll45449720
CHALKYITSIK CITY,CHALKYITSIK VILLAGE COUNCIL, 102 Bell St,,,CHALKYITSIK,AK,99788,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,3,"102 Bell St, Chalkyitsik, AK 99788",,08:00 AM - 05:00 PM,,ho45449720,false,true,,,,poll45449720
CHISTOCHINA City,Cheesh'na Tribal Council, Mile 34 Tok Cutoff,,,Gakona,AK,99586,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,4,"Mile 34 Tok Cutoff, Gakona, AK 99586",,08:00 AM - 05:00 PM,,ho68005799,false,true,,,,poll68005799
CHISTOCHINA City,Cheesh'na Tribal Council, Mile 34 Tok Cutoff,,,Gakona,AK,99586,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,5,"Mile 34 Tok Cutoff, Gakona, AK 99586",,08:00 AM - 05:00 PM,,ho68005799,false,true,,,,poll68005799
CHISTOCHINA City,Cheesh'na Tribal Council, Mile 34 Tok Cutoff,,,Gakona,AK,99586,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,6,"Mile 34 Tok Cutoff, Gakona, AK 99586",,08:00 AM - 05:00 PM,,ho68005799,false,true,,,,poll68005799
CIRCLE City,CIRCLE TRIBAL COUNCIL COUNCIL OFFICE, Box 16,,,Circle,AK,99733,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,7,"Box 16, Circle, AK 99733",,08:00 AM - 05:00 PM,,ho92860781,false,true,,,,poll92860781
CIRCLE City,CIRCLE TRIBAL COUNCIL COUNCIL OFFICE, Box 16,,,Circle,AK,99733,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,8,"Box 16, Circle, AK 99733",,08:00 AM - 05:00 PM,,ho92860781,false,true,,,,poll92860781
CIRCLE City,CIRCLE TRIBAL COUNCIL COUNCIL OFFICE, Box 16,,,Circle,AK,99733,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,9,"Box 16, Circle, AK 99733",,08:00 AM - 05:00 PM,,ho92860781,false,true,,,,poll92860781
Copper Center City ,Native Village of Kluti Kaah, Mile 104 Old Richardson HWY,,,Copper Center,AK,99573,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,10,"Mile 104 Old Richardson Hwy, Copper Center, AK 99573",,08:00 AM - 05:00 PM,,ho43789896,false,true,,,,poll43789896
Copper Center City ,Native Village of Kluti Kaah, Mile 104 Old Richardson HWY,,,Copper Center,AK,99573,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,11,"Mile 104 Old Richardson Hwy, Copper Center, AK 99573",,08:00 AM - 05:00 PM,,ho43789896,false,true,,,,poll43789896
Copper Center City ,Native Village of Kluti Kaah, Mile 104 Old Richardson HWY,,,Copper Center,AK,99573,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,12,"Mile 104 Old Richardson Hwy, Copper Center, AK 99573",,08:00 AM - 05:00 PM,,ho43789896,false,true,,,,poll43789896
NENANA,NENANA CITY CLERKS OFFICE,307 2nd St,,,NENANA,AK,99760,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,13,"307 2Nd St, Nenana, AK 99760",,08:00 AM - 05:00 PM,,ho166316,false,true,,,,poll166316
NENANA,NENANA CITY CLERKS OFFICE,307 2nd St,,,NENANA,AK,99760,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,14,"307 2Nd St, Nenana, AK 99760",,08:00 AM - 05:00 PM,,ho166316,false,true,,,,poll166316
NENANA,NENANA CITY CLERKS OFFICE,307 2nd St,,,NENANA,AK,99760,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,15,"307 2Nd St, Nenana, AK 99760",,08:00 AM - 05:00 PM,,ho166316,false,true,,,,poll166316
NORTHWAY,NORTHWAY VILLAGE COUNCIL,1 Circle Drive,,,Northway,AK,99764,08:00:00 - 08:00,12:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,16,"1 Circle Drive, Northway, AK 99764",,08:00 AM - 12:00 PM,,ho91201946,false,true,,,,poll91201946
NORTHWAY,NORTHWAY VILLAGE COUNCIL,1 Circle Drive,,,Northway,AK,99764,08:00:00 - 08:00,12:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,17,"1 Circle Drive, Northway, AK 99764",,08:00 AM - 12:00 PM,,ho91201946,false,true,,,,poll91201946
NORTHWAY,NORTHWAY VILLAGE COUNCIL,1 Circle Drive,,,Northway,AK,99764,08:00:00 - 08:00,12:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,18,"1 Circle Drive, Northway, AK 99764",,08:00 AM - 12:00 PM,,ho91201946,false,true,,,,poll91201946
TANANA,TANANA TRIBAL COUNCIL,"TRIBAL OFFICE, 130 Front St",,,Tanana,AK,99777,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,19,"Tribal Office, 130 Front St, Tanana, AK 99777",,08:00 AM - 05:00 PM,,ho80927970,false,true,,,,poll80927970
TANANA,TANANA TRIBAL COUNCIL,"TRIBAL OFFICE, 130 Front St",,,Tanana,AK,99777,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,20,"Tribal Office, 130 Front St, Tanana, AK 99777",,08:00 AM - 05:00 PM,,ho80927970,false,true,,,,poll80927970
TANANA,TANANA TRIBAL COUNCIL,"TRIBAL OFFICE, 130 Front St",,,Tanana,AK,99777,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,21,"Tribal Office, 130 Front St, Tanana, AK 99777",,08:00 AM - 05:00 PM,,ho80927970,false,true,,,,poll80927970
VENETIE,VENETIE VILLAGE COUNCIL,"COUNCIL OFFICE, 110 Woodyard Rd",,,Venetie,AK,99781,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:6,22,"Council Office, 110 Woodyard Rd, Venetie, AK 99781",,08:00 AM - 05:00 PM,,ho53422610,false,true,,,,poll53422610
VENETIE,VENETIE VILLAGE COUNCIL,"COUNCIL OFFICE, 110 Woodyard Rd",,,Venetie,AK,99781,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:6,23,"Council Office, 110 Woodyard Rd, Venetie, AK 99781",,08:00 AM - 05:00 PM,,ho53422610,false,true,,,,poll53422610
VENETIE,VENETIE VILLAGE COUNCIL,"COUNCIL OFFICE, 110 Woodyard Rd",,,Venetie,AK,99781,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:6,24,"Council Office, 110 Woodyard Rd, Venetie, AK 99781",,08:00 AM - 05:00 PM,,ho53422610,false,true,,,,poll53422610
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:29,25,"410 Adams St, Seward, AK 99664",,08:00 AM - 05:00 PM,,ho54079126,false,true,,,,poll54079126
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:29,26,"410 Adams St, Seward, AK 99664",,08:00 AM - 05:00 PM,,ho54079126,false,true,,,,poll54079126
SEWARD,SEWARD CITY CLERK'S OFFICE,410 ADAMS ST,,,Seward,AK,99664,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:29,27,"410 Adams St, Seward, AK 99664",,08:00 AM - 05:00 PM,,ho54079126,false,true,,,,poll54079126
Cordova City,CORDOVA CENTER, 601 FIRST ST,,,Cordova,AK,99574,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:32,28,"601 First St, Cordova, AK 99574",,08:00 AM - 04:30 PM,,ho87898484,false,true,,,,poll87898484
Cordova City,CORDOVA CENTER, 601 FIRST ST,,,Cordova,AK,99574,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:32,29,"601 First St, Cordova, AK 99574",,08:00 AM - 04:30 PM,,ho87898484,false,true,,,,poll87898484
Cordova City,CORDOVA CENTER, 601 FIRST ST,,,Cordova,AK,99574,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:32,30,"601 First St, Cordova, AK 99574",,08:00 AM - 04:30 PM,,ho87898484,false,true,,,,poll87898484
Haines City ,HAINES BOROUGH CLERK'S OFFICE,103 THIRD AVE,,,Haines,AK,99827,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:33,31,"103 Third Ave, Haines, AK 99827",,08:00 AM - 05:00 PM,,ho79937983,false,true,,,,poll79937983
Haines City ,HAINES BOROUGH CLERK'S OFFICE,103 THIRD AVE,,,Haines,AK,99827,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:33,32,"103 Third Ave, Haines, AK 99827",,08:00 AM - 05:00 PM,,ho79937983,false,true,,,,poll79937983
Haines City ,HAINES BOROUGH CLERK'S OFFICE,103 THIRD AVE,,,Haines,AK,99827,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:33,33,"103 Third Ave, Haines, AK 99827",,08:00 AM - 05:00 PM,,ho79937983,false,true,,,,poll79937983
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:33,34,"700 Spring St, Skagway, AK 99840",,08:00 AM - 05:00 PM,,ho8000120,false,true,,,,poll8000120
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:33,35,"700 Spring St, Skagway, AK 99840",,08:00 AM - 05:00 PM,,ho8000120,false,true,,,,poll8000120
SKAGWAY,SKAGWAY MUNICIPAL CLERK'S OFFICE,700 SPRING ST,,,Skagway,AK,99840,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:33,36,"700 Spring St, Skagway, AK 99840",,08:00 AM - 05:00 PM,,ho8000120,false,true,,,,poll8000120
Craig City,CRAIG CITY CLERK'S OFFICE, 500 3RD ST,,,Craig,AK,99921,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35,37,"500 3Rd St, Craig, AK 99921",,08:00 AM - 05:00 PM,,ho54118296,false,true,,,,poll54118296
Craig City,CRAIG CITY CLERK'S OFFICE, 500 3RD ST,,,Craig,AK,99921,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35,38,"500 3Rd St, Craig, AK 99921",,08:00 AM - 05:00 PM,,ho54118296,false,true,,,,poll54118296
Craig City,CRAIG CITY CLERK'S OFFICE, 500 3RD ST,,,Craig,AK,99921,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35,39,"500 3Rd St, Craig, AK 99921",,08:00 AM - 05:00 PM,,ho54118296,false,true,,,,poll54118296
Hoonah City ,HOONAH CITY CLERK'S OFFICE,300 FRONT ST,,,Hoonah,AK,99829,08:00:00 - 08:00,16:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35,40,"300 Front St, Hoonah, AK 99829",,08:00 AM - 04:00 PM,,ho69084849,false,true,,,,poll69084849
Hoonah City ,HOONAH CITY CLERK'S OFFICE,300 FRONT ST,,,Hoonah,AK,99829,08:00:00 - 08:00,16:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35,41,"300 Front St, Hoonah, AK 99829",,08:00 AM - 04:00 PM,,ho69084849,false,true,,,,poll69084849
Hoonah City ,HOONAH CITY CLERK'S OFFICE,300 FRONT ST,,,Hoonah,AK,99829,08:00:00 - 08:00,16:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35,42,"300 Front St, Hoonah, AK 99829",,08:00 AM - 04:00 PM,,ho69084849,false,true,,,,poll69084849
PELICAN,PELICAN CITY CLERK'S OFFICE,"Pelican City Hall, 106 Salmon Way",,,Pelican,AK,99832,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35,43,"Pelican City Hall, 106 Salmon Way, Pelican, AK 99832",,08:00 AM - 04:30 PM,,ho61089697,false,true,,,,poll61089697
PELICAN,PELICAN CITY CLERK'S OFFICE,"Pelican City Hall, 106 Salmon Way",,,Pelican,AK,99832,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35,44,"Pelican City Hall, 106 Salmon Way, Pelican, AK 99832",,08:00 AM - 04:30 PM,,ho61089697,false,true,,,,poll61089697
PELICAN,PELICAN CITY CLERK'S OFFICE,"Pelican City Hall, 106 Salmon Way",,,Pelican,AK,99832,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35,45,"Pelican City Hall, 106 Salmon Way, Pelican, AK 99832",,08:00 AM - 04:30 PM,,ho61089697,false,true,,,,poll61089697
SITKA,SITKA MUNICIPAL CLERK'S OFFICE,100 LINCOLN ST,,,Sitka,AK,99835,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35,46,"100 Lincoln St, Sitka, AK 99835",,08:00 AM - 05:00 PM,,ho87245272,false,true,,,,poll87245272
SITKA,SITKA MUNICIPAL CLERK'S OFFICE,100 LINCOLN ST,,,Sitka,AK,99835,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35,47,"100 Lincoln St, Sitka, AK 99835",,08:00 AM - 05:00 PM,,ho87245272,false,true,,,,poll87245272
SITKA,SITKA MUNICIPAL CLERK'S OFFICE,100 LINCOLN ST,,,Sitka,AK,99835,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35,48,"100 Lincoln St, Sitka, AK 99835",,08:00 AM - 05:00 PM,,ho87245272,false,true,,,,poll87245272
PORT PROTECTION,WOODEN WHEEL COVE TRADING POST,29 Port Protection Road,,,PORT PROTECTION,AK,99901,08:00:00 - 08:00,18:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:35,49,"29 Port Protection Road, Port Protection, AK 99901",,08:00 AM - 06:00 PM,,ho18569699,false,true,,,,poll18569699
PORT PROTECTION,WOODEN WHEEL TRADING POST,29 Port Protection Road,,,PORT PROTECTION,AK,99901,08:00:00 - 08:00,18:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:35,50,"29 Port Protection Road, Port Protection, AK 99901",,08:00 AM - 06:00 PM,,ho18569699,false,true,,,,poll18569699
PORT PROTECTION,WOODEN WHEEL TRADING POST,29 Port Protection Road,,,PORT PROTECTION,AK,99901,08:00:00 - 08:00,18:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:35,51,"29 Port Protection Road, Port Protection, AK 99901",,08:00 AM - 06:00 PM,,ho18569699,false,true,,,,poll18569699
KETCHIKAN,KETCHIKAN BOROUGH CLERK'S OFFICE,"1900 FIRST AVE, STE 115",,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:36,52,"1900 First Ave, Ste 115, Ketchikan, AK 99901",,08:00 AM - 05:00 PM,,ho67600295,false,true,,,,poll67600295
KETCHIKAN,KETCHIKAN BOROUGH CLERK'S OFFICE,"1900 FIRST AVE, STE 115",,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:36,53,"1900 First Ave, Ste 115, Ketchikan, AK 99901",,08:00 AM - 05:00 PM,,ho67600295,false,true,,,,poll67600295
KETCHIKAN,KETCHIKAN BOROUGH CLERK'S OFFICE,"1900 FIRST AVE, STE 115",,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:36,54,"1900 First Ave, Ste 115, Ketchikan, AK 99901",,08:00 AM - 05:00 PM,,ho67600295,false,true,,,,poll67600295
KETCHIKAN,KETCHIKAN CITY CLERK'S OFFICE,334 FRONT STREET,,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:36,55,"334 Front Street, Ketchikan, AK 99901",,08:00 AM - 05:00 PM,,ho92928972,false,true,,,,poll92928972
KETCHIKAN,KETCHIKAN CITY CLERK'S OFFICE,334 FRONT STREET,,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:36,56,"334 Front Street, Ketchikan, AK 99901",,08:00 AM - 05:00 PM,,ho92928972,false,true,,,,poll92928972
KETCHIKAN,KETCHIKAN CITY CLERK'S OFFICE,334 FRONT STREET,,,Ketchikan,AK,99901,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:36,57,"334 Front Street, Ketchikan, AK 99901",,08:00 AM - 05:00 PM,,ho92928972,false,true,,,,poll92928972
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:36,58,"5 Milton St, Metlakatla, AK 99926",,08:00 AM - 04:30 PM,,ho83074153,false,true,,,,poll83074153
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:36,59,"5 Milton St, Metlakatla, AK 99926",,08:00 AM - 04:30 PM,,ho83074153,false,true,,,,poll83074153
METLAKATLA,METLAKATLA SECRETARY'S OFFICE,5 Milton St,,,METLAKATLA,AK,99926,08:00:00 - 08:00,16:30:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:36,60,"5 Milton St, Metlakatla, AK 99926",,08:00 AM - 04:30 PM,,ho83074153,false,true,,,,poll83074153
Adak City,Adak City Clerk's Office, 100 Mechanical Street,,,Adak,AK,99546,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,61,"100 Mechanical Street, Adak, AK 99546",,08:00 AM - 05:00 PM,,ho85519427,false,true,,,,poll85519427
Adak City,Adak City Clerk's Office, 100 Mechanical Street,,,Adak,AK,99546,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,62,"100 Mechanical Street, Adak, AK 99546",,08:00 AM - 05:00 PM,,ho85519427,false,true,,,,poll85519427
Adak City,Adak City Clerk's Office, 100 Mechanical Street,,,Adak,AK,99546,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,63,"100 Mechanical Street, Adak, AK 99546",,08:00 AM - 05:00 PM,,ho85519427,false,true,,,,poll85519427
Akutan City,AKUTAN CITY HALL, 109 WINDY WAY,,,Akutan,AK,99553,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,64,"109 Windy Way, Akutan, AK 99553",,08:00 AM - 05:00 PM,,ho53859319,false,true,,,,poll53859319
Akutan City,AKUTAN CITY HALL, 109 WINDY WAY,,,Akutan,AK,99553,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,65,"109 Windy Way, Akutan, AK 99553",,08:00 AM - 05:00 PM,,ho53859319,false,true,,,,poll53859319
Akutan City,AKUTAN CITY HALL, 109 WINDY WAY,,,Akutan,AK,99553,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,66,"109 Windy Way, Akutan, AK 99553",,08:00 AM - 05:00 PM,,ho53859319,false,true,,,,poll53859319
Aleknagik City,ALEKNAGIK TRADITIONAL COUNCIL BUILDING, LAKE STREET,,,Aleknagik,AK,99555,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,67,"Lake Street, Aleknagik, AK 99555",,08:00 AM - 05:00 PM,,ho59118448,false,true,,,,poll59118448
Aleknagik City,ALEKNAGIK TRADITIONAL COUNCIL BUILDING, LAKE STREET,,,Aleknagik,AK,99555,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,68,"Lake Street, Aleknagik, AK 99555",,08:00 AM - 05:00 PM,,ho59118448,false,true,,,,poll59118448
Aleknagik City,ALEKNAGIK TRADITIONAL COUNCIL BUILDING, LAKE STREET,,,Aleknagik,AK,99555,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,69,"Lake Street, Aleknagik, AK 99555",,08:00 AM - 05:00 PM,,ho59118448,false,true,,,,poll59118448
Chignik City,CHIGNIK BAY CITY OFFICE, 125 TSUNAMI RD,,,Chignik,AK,99564,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,70,"125 Tsunami Rd, Chignik, AK 99564",,08:00 AM - 05:00 PM,,ho34553411,false,true,,,,poll34553411
Chignik City,CHIGNIK BAY CITY OFFICE, 125 TSUNAMI RD,,,Chignik,AK,99564,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,71,"125 Tsunami Rd, Chignik, AK 99564",,08:00 AM - 05:00 PM,,ho34553411,false,true,,,,poll34553411
Chignik City,CHIGNIK BAY CITY OFFICE, 125 TSUNAMI RD,,,Chignik,AK,99564,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,72,"125 Tsunami Rd, Chignik, AK 99564",,08:00 AM - 05:00 PM,,ho34553411,false,true,,,,poll34553411
Chignik Lagoon City,Chignik Lagoon Village Council, 427 Airport Rd,,,Chignik Lagoon,AK,99565,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,73,"427 Airport Rd, Chignik Lagoon, AK 99565",,08:00 AM - 05:00 PM,,ho66555778,false,true,,,,poll66555778
Chignik Lagoon City,Chignik Lagoon Village Council, 427 Airport Rd,,,Chignik Lagoon,AK,99565,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,74,"427 Airport Rd, Chignik Lagoon, AK 99565",,08:00 AM - 05:00 PM,,ho66555778,false,true,,,,poll66555778
Chignik Lagoon City,Chignik Lagoon Village Council, 427 Airport Rd,,,Chignik Lagoon,AK,99565,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,75,"427 Airport Rd, Chignik Lagoon, AK 99565",,08:00 AM - 05:00 PM,,ho66555778,false,true,,,,poll66555778
Chignik Lake City,Chignik Lake Village Council, 33 Lake Front Dr,,,Chignik Lake,AK,99548,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,76,"33 Lake Front Dr, Chignik Lake, AK 99548",,08:00 AM - 05:00 PM,,ho35449475,false,true,,,,poll35449475
Chignik Lake City,Chignik Lake Village Council, 33 Lake Front Dr,,,Chignik Lake,AK,99548,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,77,"33 Lake Front Dr, Chignik Lake, AK 99548",,08:00 AM - 05:00 PM,,ho35449475,false,true,,,,poll35449475
Chignik Lake City,Chignik Lake Village Council, 33 Lake Front Dr,,,Chignik Lake,AK,99548,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,78,"33 Lake Front Dr, Chignik Lake, AK 99548",,08:00 AM - 05:00 PM,,ho35449475,false,true,,,,poll35449475
Grayling City ,City of Grayling City Office,1 Postal Way,,,Grayling,AK,99590-9800,08:00:00 - 08:00,17:00:00 - 08:00,10/24/16,10/28/16,,ocd-division/country:us/state:ak/sldl:37,79,"1 Postal Way, Grayling, AK 99590",,08:00 AM - 05:00 PM,,ho60655326,false,true,,,,poll60655326
Grayling City ,City of Grayling City Office,1 Postal Way,,,Grayling,AK,99590-9800,08:00:00 - 08:00,17:00:00 - 08:00,10/31/16,11/4/16,,ocd-division/country:us/state:ak/sldl:37,80,"1 Postal Way, Grayling, AK 99590",,08:00 AM - 05:00 PM,,ho60655326,false,true,,,,poll60655326
Grayling City ,City of Grayling City Office,1 Postal Way,,,Grayling,AK,99590-9800,08:00:00 - 08:00,17:00:00 - 08:00,11/7/16,11/7/16,,ocd-division/country:us/state:ak/sldl:37,81,"1 Postal Way, Grayling, AK 99590",,08:00 AM - 05:00 PM,,ho60655326,false,true,,,,poll60655326
