name,address_location_name,address_line1,address_line2,address_line3,address_city,address_state,address_zip,directions,voter_services,start_date,end_date,start_time,end_time,days_times_open,ev id,locality id,county
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave. Ste 200,,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,10-19-2016,10-21-2016,08:30:00 - 07:00,16:30:00 - 07:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave. Ste 200,,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,10-24-2016,10-28-2016,08:30:00 - 07:00,16:30:00 - 07:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave. Ste 200,,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave. Ste 200,,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,10-31-2016,11-04-2016,08:30:00 - 07:00,16:30:00 - 07:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County
Adams County Auditor's Office,Adams County Auditor's Office,210 W Broadway Ave. Ste 200,,,Ritzville,WA,98512,Up stairs take right Ste 200,VSPC,11-07-2016,11-07-2016,08:30:00 - 08:00,16:30:00 - 08:00,8:30  a.m. to 4:30  p.m. Ballots are accepted from 7 a.m. until 8 p.m. on election day.,53050010142,5313001,Adams County
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,10-19-2016,10-21-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,10-24-2016,10-28-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,10-31-2016,11-04-2016,08:00:00 - 07:00,17:00:00 - 07:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County
Asotin County Auditor's Office,Asotin County Auditor's Office,135 Second St.,,,Asotin,WA,99402,,VSPC,11-07-2016,11-07-2016,08:00:00 - 08:00,17:00:00 - 08:00,8 a.m. to 5 p.m. Open until 8 p.m. on Election Day.,53050020158,5313002,Asotin County
