entry_name,county,loc_name,address_1,address_2,address_3,city,state,zip,dirs,services,start_time,end_time,start_date,end_date,days_times_open,state_id,index,name,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
Hurricane City Community Center,Washington,Hurricane City Community Center,63 S 100 W,,,Hurricane,UT,84737,,,15:00:00 - 07:00,19:00:00 - 07:00,10/25/16,10/28/16,10/25/2016 03:00 PM to 07:00 PM<br>10/26/2016 03:00 PM to 07:00 PM<br>10/27/2016 03:00 PM to 07:00 PM<br>10/28/2016 03:00 PM to 07:00 PM<br>10/31/2016 09:00 AM to 01:00 PM<br>11/01/2016 09:00 AM to 01:00 PM<br>11/02/2016 09:00 AM to 01:00 PM<br>11/03/2016 09:00 AM to 01:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11,13,Hurricane City Community Center,"63 S 100 W, Hurricane, UT 84737",,03:00 PM-07:00 PM,,ho1043371,false,true,,,,poll82918304
Hurricane City Community Center,Washington,Hurricane City Community Center,63 S 100 W,,,Hurricane,UT,84737,,,09:00:00 - 07:00,13:00:00 - 07:00,10/31/16,11/3/16,,,14,Hurricane City Community Center,"63 S 100 W, Hurricane, UT 84737",,09:00 AM-01:00 PM,,ho1043371,false,true,,,,poll82918304
Hurricane City Community Center,Washington,Hurricane City Community Center,63 S 100 W,,,Hurricane,UT,84737,,,13:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,,15,Hurricane City Community Center,"63 S 100 W, Hurricane, UT 84737",,01:00 PM-05:00 PM,,ho1043371,false,true,,,,poll82918304
County Courthouse,Carbon,County Courthouse,751 E 100 N #1700,,,Price,UT,84501,,,11:00:00 - 07:00,19:00:00 - 07:00,10/25/16,11/4/16,10/25/2016 11:00 AM to 07:00 PM<br>10/26/2016 11:00 AM to 07:00 PM<br>10/27/2016 11:00 AM to 07:00 PM<br>10/28/2016 11:00 AM to 07:00 PM<br>10/31/2016 11:00 AM to 07:00 PM<br>11/01/2016 11:00 AM to 07:00 PM<br>11/02/2016 11:00 AM to 07:00 PM<br>11/03/2016 11:00 AM to 07:00 PM<br>11/04/2016 11:00 AM to 05:00 PM<br>,1.60E+11,16,County Courthouse,"751 E 100 N #1700, Price, UT 84501",,11:00 AM-07:00 PM,,ho93186558,false,true,,,,poll87903929
County Courthouse,Carbon,County Courthouse,751 E 100 N #1700,,,Price,UT,84501,,,11:00:00 - 07:00,19:00:00 - 07:00,10/31/16,11/3/16,,,17,County Courthouse,"751 E 100 N #1700, Price, UT 84501",,11:00 AM-07:00 PM,,ho93186558,false,true,,,,poll87903929
County Courthouse,Carbon,County Courthouse,751 E 100 N #1700,,,Price,UT,84501,,,11:00:00 - 07:00,17:00:00 - 07:00,11/4/16,11/4/16,,,18,County Courthouse,"751 E 100 N #1700, Price, UT 84501",,11:00 AM-05:00 PM,,ho93186558,false,true,,,,poll87903929
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,08:00:00 - 07:00,12:00:00 - 07:00,10/25/16,10/25/16,10/25/2016 08:00 AM to 12:00 PM<br>10/26/2016 01:00 PM to 05:00 PM<br>10/27/2016 01:00 PM to 05:00 PM<br>10/28/2016 01:00 PM to 05:00 PM<br>10/31/2016 01:00 PM to 05:00 PM<br>11/01/2016 08:00 AM to 12:00 PM<br>11/02/2016 01:00 PM to 05:00 PM<br>11/03/2016 01:00 PM to 05:00 PM<br>11/04/2016 01:00 PM to 05:00 PM<br>,1.60E+11,19,Eagle Mountain City Hall,"1650 E Stagecoach Run, Eagle Mountain, UT 84005",,08:00 AM-12:00 PM,,ho71484200,false,true,,,,poll80976946
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,13:00:00 - 07:00,17:00:00 - 07:00,10/26/16,10/28/16,,,20,Eagle Mountain City Hall,"1650 E Stagecoach Run, Eagle Mountain, UT 84005",,01:00 PM-05:00 PM,,ho71484200,false,true,,,,poll80976946
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,13:00:00 - 07:00,17:00:00 - 07:00,10/31/16,10/31/16,,,21,Eagle Mountain City Hall,"1650 E Stagecoach Run, Eagle Mountain, UT 84005",,01:00 PM-05:00 PM,,ho71484200,false,true,,,,poll80976946
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,08:00:00 - 07:00,12:00:00 - 07:00,11/1/16,11/1/16,,,22,Eagle Mountain City Hall,"1650 E Stagecoach Run, Eagle Mountain, UT 84005",,08:00 AM-12:00 PM,,ho71484200,false,true,,,,poll80976946
Eagle Mountain City Hall,Utah,Eagle Mountain City Hall,1650 E Stagecoach Run,,,Eagle Mountain,UT,84005,,,13:00:00 - 07:00,17:00:00 - 07:00,11/2/16,11/4/16,,,23,Eagle Mountain City Hall,"1650 E Stagecoach Run, Eagle Mountain, UT 84005",,01:00 PM-05:00 PM,,ho71484200,false,true,,,,poll80976946
