name,adr_location_name,adr_1,adr_2,adr_3,city,state,zip,dirs,services,start_date,end_date,start_time,end_time,ev_id,locality_id,index,address_line,directions,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
CADDO,,"525 MARSHALL, SUITE 103",,,SHREVEPORT,LA,71101,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6010,2010,20,"525 Marshall, Suite 103, Shreveport, LA 71101",,08:30 AM-06:00 PM,,ho25014275,FALSE,TRUE,,,,poll25014275
CALCASIEU,PARISH COURTHOUSE,1000 RYAN ST,,,LAKE CHARLES,LA,70601,Room 7,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6011,2011,21,"1000 Ryan St, Lake Charles, LA 70601",Room 7,08:30 AM-06:00 PM,,ho93824081,FALSE,TRUE,,,,poll93824081
CALCASIEU,PARISH COURTHOUSE,1000 RYAN ST,,,LAKE CHARLES,LA,70601,Room 7,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6011,2011,22,"1000 Ryan St, Lake Charles, LA 70601",Room 7,08:30 AM-06:00 PM,,ho93824081,FALSE,TRUE,,,,poll93824081
CALDWELL,Courthouse,201 MAIN ST.,,,COLUMBIA,LA,71418,Suite 4,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6012,2011,23,"201 Main St., Columbia, LA 71418",Suite 4,08:30 AM-06:00 PM,,ho23242953,FALSE,TRUE,,,,poll23242953
CALDWELL,Courthouse,201 MAIN ST.,,,COLUMBIA,LA,71418,Suite 4,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6012,2011,24,"201 Main St., Columbia, LA 71418",Suite 4,08:30 AM-06:00 PM,,ho23242953,FALSE,TRUE,,,,poll23242953
CAMERON,CAMERON WEST ANNEX,148 SMITH CIRCLE,,,CAMERON,LA,70631,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6013,2013,25,"148 Smith Circle, Cameron, LA 70631",,08:30 AM-06:00 PM,,ho78500355,FALSE,TRUE,,,,poll78500355
CAMERON,CAMERON WEST ANNEX,148 SMITH CIRCLE,,,CAMERON,LA,70631,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6013,2013,26,"148 Smith Circle, Cameron, LA 70631",,08:30 AM-06:00 PM,,ho78500355,FALSE,TRUE,,,,poll78500355
CATAHOULA,,301 BUSHLEY ST,,,HARRISONBURG,LA,71340,Room 103,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6014,2014,27,"301 Bushley St, Harrisonburg, LA 71340",Room 103,08:30 AM-06:00 PM,,ho67373376,FALSE,TRUE,,,,poll67373376
CATAHOULA,,301 BUSHLEY ST,,,HARRISONBURG,LA,71340,Room 103,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6014,2014,28,"301 Bushley St, Harrisonburg, LA 71340",Room 103,08:30 AM-06:00 PM,,ho67373376,FALSE,TRUE,,,,poll67373376
CLAIBORNE,,507 W. MAIN ST STE 1,,,HOMER,LA,71040,,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6015,2015,29,"507 W. Main St Ste 1, Homer, LA 71040",,08:30 AM-06:00 PM,,ho33341312,FALSE,TRUE,,,,poll33341312
CLAIBORNE,,507 W. MAIN ST STE 1,,,HOMER,LA,71040,,,10/31/16,11/1/16,08:30:00 - 05:00,18:00:00 - 05:00,6015,2015,30,"507 W. Main St Ste 1, Homer, LA 71040",,08:30 AM-06:00 PM,,ho33341312,FALSE,TRUE,,,,poll33341312
CONCORDIA,NEW CRTHSE,4001 CARTER ST.,,,VIDALIA,LA,71373,Suite K,,10/25/16,10/29/16,08:30:00 - 05:00,18:00:00 - 05:00,6016,2016,31,"4001 Carter St., Vidalia, LA 71373",Suite K,08:30 AM-06:00 PM,,ho10246169,FALSE,TRUE,,,,poll10246169
