address_line,hours,photo_uri,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,id
"1098 Church Street, Rewey, WI 53580-9632",,,ho30136503,false,true,,,,poll30136503
"633 N Main St, Patch Grove, WI 53817",,,ho28612680,false,true,,,,poll28612680
"12296 Dry Hollow Rd, Bagley, WI 53801-9789",,,ho91306185,false,true,,,,poll91306185
"S3886 Grote Hill Rd, Reedsburg, WI 53959-9487",,,ho95667636,false,true,,,,poll95667636
"N10752 School House Rd, Northfield, WI 54635-8416",,,ho52249755,false,true,,,,poll52249755
"9301 Mill Creek Drive, Marshfield, WI 54449",12:00 PM-07:00 PM,,ho26202446,false,true,,,,poll26202446
"N9575 County Road B, Summit Lake, WI 54485-9800",,,ho40666506,false,true,,,,poll40666506
"W19104 3rd St., Aniwa, WI 54408",05:00 PM-07:00 PM,,ho33042116,false,true,,,,poll33042116
"N12644 Badger St, Colby, WI 54421-9061",09:00 AM-09:00 PM,,ho87544862,false,true,,,,poll87544862
"N12865 Sparrow Ave, Owen, WI 54460-8147",,,ho48491901,false,true,,,,poll48491901
"W2745 Willow Rd, Curtiss, WI 54422",09:00 AM-03:00 PM,,ho89190110,false,true,,,,poll89190110
"N1381 Cth E, Medford, WI 54451",,,ho25828248,false,true,,,,poll25828248
"104 3rd St Box 234, Haugen, WI 54841",,,ho62206364,false,true,,,,poll62206364
"304 25 1/2 St, Chetek, WI 54728-6321",,,ho64019771,false,true,,,,poll64019771
"1232 E School Rd, Danbury, WI 54830",,,ho89155021,false,true,,,,poll89155021
"W19069 Elm St., Eland, WI 54427-9510",05:00 PM-07:00 PM,,ho62006558,false,true,,,,poll62006558
"17395 County Road Q Box 186, Wittenberg, WI 54499",08:00 AM-12:00 PM,,ho7625755,false,true,,,,poll7625755
"W3412 Chickadee Rd, Loyal, WI 54446-8429",,,ho61056031,false,true,,,,poll61056031
"19965 Bay Road, Glidden, WI 54527",,,ho57593710,false,true,,,,poll57593710
"N8482 Hay Creek Rd, Willard, WI 54493-8900",,,ho75127813,false,true,,,,poll75127813
"690 Minneapolis Street, Amery, WI 54001",,,ho48901808,false,true,,,,poll48901808
"W9115 501st Ave, Ellsworth, WI 54011-4626",,,ho46668780,false,true,,,,poll46668780
"402 2nd Ave, Mellen, WI 54546-8904",,,ho80205234,false,true,,,,poll80205234
"236 Gebhardt Rd Box 484, Blk River Fls, WI 54615-9143",,,ho40141328,false,true,,,,poll40141328
"N3902 County Road X, Black River Falls, WI 54615",,,ho62178925,false,true,,,,poll62178925
"25091 County Hwy S, Cadott, WI 54727-5007",,,ho87705353,false,true,,,,poll87705353
"2738 22nd St, Rice Lake, WI 54868-9767",,,ho81035617,false,true,,,,poll81035617
"446 East County Rd F, Athens, WI 54411-9785",,,ho47642272,false,true,,,,poll47642272
"N5740 State Highway 54, Blk River Fls, WI 54615-5920",,,ho2931644,false,true,,,,poll2931644
"F1824 County Rd N, Edgar, WI 54426-9612",08:00 AM-08:00 PM,,ho88868349,false,true,,,,poll88868349
"N5746 Cedar St, Glen Flora, WI 54526-9681",,,ho99038345,false,true,,,,poll99038345
"588 Memory Lane, Fence, WI 54120",,,ho34665983,false,true,,,,poll34665983
"8851 Waldora Rd, Siren, WI 54872-8755",,,ho62477826,false,true,,,,poll62477826
"23340 Soderberg Rd, Siren, WI 54872-9126",,,ho68928033,false,true,,,,poll68928033
"902 20th Ave, Cumberland, WI 54829",08:00 AM-07:00 PM,,ho28315598,false,true,,,,poll28315598
"131 Soo Ave E, Almena, WI 54805-7059",,,ho84961371,false,true,,,,poll84961371
"8275 E Mill St, Iron River, WI 54847-3453",09:00 AM-02:00 PM,,ho32552203,false,true,,,,poll32552203
"5392 Park St, Boulder Jct, WI 54512-9605",,,ho37685102,false,true,,,,poll37685102
"N4593 Cornell St, Birnamwood, WI 54414-9658",,,ho36529002,false,true,,,,poll36529002
"435 Curtis Ave, Hatley, WI 54440-9784",,,ho29415328,false,true,,,,poll29415328
"7089 Clover River Rd., Hatley, WI 54440",09:00 AM-08:00 PM,,ho77474437,false,true,,,,poll77474437
"463 State Rd, Birnamwood, WI 54414-9268",02:00 PM-05:00 PM,,ho3175949,false,true,,,,poll3175949
"S9515 State Rd 27, Augusta, WI 54755",,,ho5631031,false,true,,,,poll5631031
"31700 County Highway M, Holcombe, WI 54745",,,ho97192482,false,true,,,,poll97192482
"455 Davis St, Hammond, WI 54015",,,ho56251674,false,true,,,,poll56251674
"1829 30TH AVE, Hammond, WI 54015",,,ho78747038,false,true,,,,poll78747038
"W8571 Point Drive, Tomahawk, WI 54487",,,ho44234898,false,true,,,,poll44234898
"1096 S. County Road Y, Hatley, WI 54440",08:00 AM-07:00 PM,,ho67476855,false,true,,,,poll67476855
"653 9th Ave, Clayton, WI 54004-9088",,,ho65713972,false,true,,,,poll65713972
"3756 County Road M, Stevens Point, WI 54481-9516",,,ho73095146,false,true,,,,poll73095146
"2026 15th Ave, Cameron, WI 54822-4400",,,ho47198642,false,true,,,,poll47198642
"W8499 Highway 77, Trego, WI 54888-9158",,,ho21119484,false,true,,,,poll21119484
"349 N Main St, Scandinavia, WI 54977-9307",,,ho27973523,false,true,,,,poll27973523
"24433 Town Hall Rd, Shell Lake, WI 54871-9225",,,ho36937555,false,true,,,,poll36937555
"1205 Sundstein Rd Box 9, Eagle River, WI 54521-9272",,,ho3877293,false,true,,,,poll3877293
"N7770 State Highway 55, Lily, WI 54491",09:00 AM-05:00 PM,,ho94776166,false,true,,,,poll94776166
"N3614 County Road J, Tigerton, WI 54486-8956",05:00 PM-07:00 PM,,ho85166951,false,true,,,,poll85166951
"N2897 Comet Rd., Tigerton, WI 54486-9244",04:30 PM-07:00 PM,,ho22546715,false,true,,,,poll22546715
"5733 Airport Rd Box 267, Manitowsh Wtr, WI 54545-0267",,,ho84449879,false,true,,,,poll84449879
"E6591 627th Ave, Menomonie, WI 54751-5559",,,ho9416833,false,true,,,,poll9416833
"12004 Stettin Dr, Marathon, WI 54448-9576",,,ho33922571,false,true,,,,poll33922571
"W16550 COUNTY ROAD N, Bowler, WI 54416",05:00 PM-07:00 PM,,ho6738585,false,true,,,,poll6738585
"5725 Colby Factory Rd, Withee, WI 54498",04:30 PM-07:00 PM,,ho83267388,false,true,,,,poll83267388
"W10166 Birch Road, Antigo, WI 54409-8830",,,ho49440838,false,true,,,,poll49440838
"W3234 2nd Ave, Spooner, WI 54801-7293",,,ho89075622,false,true,,,,poll89075622
"9193 W Main St, Hiles, WI 54511",08:00 AM-05:00 PM,,ho81285262,false,true,,,,poll81285262
"753 14 1/2 street, Hillsdale, WI 54733-9464",,,ho5498800,false,true,,,,poll5498800
"W1296 Center Rd, Dorchester, WI 54425-9136",,,ho49642218,false,true,,,,poll49642218
"E5905 County Road S, Wheeler, WI 54772-9460",,,ho80677744,false,true,,,,poll80677744
"W896 Willard Rd, Spencer, WI 54479-9060",03:30 PM-05:00 PM,,ho91905873,false,true,,,,poll91905873
"10780 Eddy Rd, Thorp, WI 54771-7611",,,ho75358819,false,true,,,,poll75358819
"W10368 Center Road, Thorp, WI 54771",08:00 AM-07:00 PM,,ho21649426,false,true,,,,poll21649426
"32800 Burlager Road, Washburn, WI 54891",08:00 AM-07:00 PM,,ho66930066,false,true,,,,poll66930066
"W9915 County Road N, Thorp, WI 54771-7614",,,ho27678460,false,true,,,,poll27678460
"S290 County Road J, Durand, WI 54736-8306",,,ho69270161,false,true,,,,poll69270161
"W4195 Forster Rd, Durand, WI 54736-4923",,,ho88955595,false,true,,,,poll88955595
"11690 Old 139 Rd, Long Lake, WI 54542-0082",,,ho58672216,false,true,,,,poll58672216
"8487 Richfield Dr, Marshfield, WI 54449",,,ho97604404,false,true,,,,poll97604404
"29025 E Ondossagon Rd, Ashland, WI 54806-5622",,,ho68955502,false,true,,,,poll68955502
"N8425 County Road F, Menomonie, WI 54751",,,ho3059109,false,true,,,,poll3059109
"N3090 Fairground Ave, Neillsville, WI 54456-7318",,,ho55801598,false,true,,,,poll55801598
"W6351 Bryan Ave, Neillsville, WI 54456-6840",,,ho18975883,false,true,,,,poll18975883
"W977 Shawano Line Rd, Gillett, WI 54124-9402",,,ho72174530,false,true,,,,poll72174530
"W1196 Mira Ave, Medford, WI 54451",,,ho69052538,false,true,,,,poll69052538
